step,avg_radius
0,48.407061719925416
1,49.814686376467776
2,50.33439937495828
3,49.97257907332995
4,49.21704521276003
5,47.36428489744326
6,46.16612190763167
7,44.66071498705683
8,39.85528559497452
9,40.746447931813904
10,45.958539674821004
11,44.48759467258652
12,45.874943822394584
13,48.43284900165828
14,48.12854652259435
15,48.770072380402056
16,48.59724767149204
17,47.699410490901386
18,49.17874836777411
19,49.33224789070661
20,48.88073094440224
21,48.75631473777209
22,48.9242538510534
23,48.7395664075235
24,48.72348120212806
25,48.80630753516609
26,49.15429448498126
27,49.12973694018038
28,49.21047561242178
29,49.12440531058803
30,49.04238911465653
31,49.18577570664345
32,49.29759289337027
33,49.27288777969776
34,49.339396115143096
35,49.23067109966006
36,49.253202123463026
37,49.13879699549199
38,49.14625218025838
39,49.10510638328661
40,49.086018567054936
41,49.091368005270986
42,49.061762791129105
43,49.0798026100795
44,49.09794749188196
45,49.08181159650282
46,49.082680000444874
47,49.06834789071599
48,49.0484834162667
49,49.046946120615104
50,49.04708538675401
51,49.0146816658013
52,48.98165419338527
53,48.96312116955471
54,48.97594143202105
55,48.94372162723026
56,48.935622663686054
57,48.95062556273516
58,48.96844417883376
59,48.95298139187536
60,48.94639343195408
61,48.95089637958441
62,48.93920945987401
63,48.938923799368965
64,48.943261566850815
65,48.93770011619004
66,48.93594037803434
67,48.93913259640554
68,48.954181607420146
69,48.93337830615171
70,48.93194354196431
71,48.94213160820776
72,48.93558255635491
73,48.93182823880631
74,48.93295135646887
75,48.931079120542805
76,48.938719348435995
77,48.92998622813245
78,48.93639557007524
79,48.929585092961005
80,48.9372665806033
81,48.94757310580868
82,48.942562619384745
83,48.95332210323909
84,48.95868094010419
85,48.94893326550356
86,48.948313221212665
87,48.94824325881641
88,48.95064159062315
89,48.956250759226876
90,48.952072069873324
91,48.95057232571533
92,48.94431886441558
93,48.945549996353606
94,48.94434586785755
95,48.936663918663555
96,48.93112590924203
97,48.93728518799051
98,48.93672044622071
99,48.94018659027268
100,48.9386974681992
101,48.948207083480476
102,48.93726583321716
103,48.94206260592655
104,48.93591582444096
105,48.93131192764199
106,48.93588592781209
107,48.934021182574625
108,48.93186036551858
109,48.92973622451893
110,48.922336267099574
111,48.92124701277824
112,48.92643528960293
113,48.92763171268254
114,48.922185892494205
115,48.92885651020194
116,48.93234316553396
117,48.93626109788446
118,48.9353084023273
119,48.93861439020285
120,48.9430089259441
121,48.94023416162611
122,48.93760684534401
123,48.93888182351947
124,48.9420936965736
125,48.940607257746535
126,48.94243807701303
127,48.94487739237391
128,48.946978218980576
129,48.949638898123936
130,48.95054313986172
131,48.948724295080375
132,48.95111469215722
133,48.95189660649117
134,48.95439216509057
135,48.95413877677357
136,48.95266532026277
137,48.954465997285574
138,48.95758232018436
139,48.95841555532397
140,48.95827386664086
141,48.95581916888783
142,48.954484962711156
143,48.95445542182155
144,48.95130631815331
145,48.95568735148454
146,48.95510805425141
147,48.954640968751484
148,48.9537007434384
149,48.95351708514067
150,48.95313318553474
151,48.95151003486638
152,48.95031147620256
153,48.950760727463035
154,48.9504010549622
155,48.954498223028196
156,48.957730111154454
157,48.95977431810426
158,48.95549732823191
159,48.95585356302571
160,48.95739168556959
161,48.96180311582588
162,48.96157553739797
163,48.95850457975261
164,48.96026865597213
165,48.95815899814494
166,48.95731164248451
167,48.95768006891633
168,48.95759135901068
169,48.95641756214725
170,48.9565904217169
171,48.95592963145131
172,48.95994675418207
173,48.960908327217254
174,48.95632754196033
175,48.95647074129102
176,48.95647074129102
177,48.954115643837284
178,48.954115643837284
179,48.95283982560138
180,48.95485488794816
181,48.95755155113184
182,48.957295197429296
183,48.962583809678804
184,48.96400589058228
185,48.95959088005249
186,48.961204612550056
187,48.96390503787199
188,48.96460486827167
189,48.963614665857655
190,48.96570097537455
191,48.96435825763157
192,48.96391943233408
193,48.963933590868635
194,48.96549105983692
195,48.96658249256514
196,48.96730203620996
197,48.96937224286881
198,48.96937224286881
199,48.9692764150674
200,48.9692764150674
201,48.97186177887777
202,48.97430434245358
203,48.97430434245358
204,48.97430434245358
205,48.97531673133845
206,48.97388793333229
207,48.97325773725777
208,48.970800806683464
209,48.972636236744044
210,48.972636236744044
211,48.97026391384712
212,48.970359634487366
213,48.97088480200258
214,48.9709563004635
215,48.97081074552349
216,48.971325702243035
217,48.97049117573489
218,48.970856113316806
219,48.970856113316806
220,48.9745251187111
221,48.97097540209411
222,48.97068579115979
223,48.97068579115979
224,48.97044433718708
225,48.97049122505653
226,48.96913347192151
227,48.96938138629173
228,48.96866255728069
229,48.96866255728069
230,48.968027538295935
231,48.96767997117276
232,48.96584174063359
233,48.96559404249096
234,48.96524824206989
235,48.96712895764864
236,48.967819241450755
237,48.967819241450755
238,48.96532397530074
239,48.966375472948414
240,48.966375472948414
241,48.966375472948414
242,48.96574015899512
243,48.96861574679917
244,48.96861574679917
245,48.96861574679917
246,48.96861574679917
247,48.968961383736385
248,48.968961383736385
249,48.967686996102024
250,48.96662620625531
251,48.967984195494104
252,48.96672150040429
253,48.967189541697365
254,48.96993435904135
255,48.96993435904135
256,48.96993435904135
257,48.96993435904135
258,48.97146446943061
259,48.972299518169606
260,48.97292479485562
261,48.97317531349534
262,48.97317531349534
263,48.97450703990139
264,48.975086495011865
265,48.97466349358231
266,48.975086495011865
267,48.97466349358231
268,48.970144961494626
269,48.97061225663832
270,48.972262370808984
271,48.972262370808984
272,48.96848089814565
273,48.96848089814565
274,48.97020439215483
275,48.97020439215483
276,48.97020439215483
277,48.97020439215483
278,48.97076872580879
279,48.97076872580879
280,48.97076872580879
281,48.973218576807625
282,48.973218576807625
283,48.973218576807625
284,48.973218576807625
285,48.973218576807625
286,48.973218576807625
287,48.973218576807625
288,48.973218576807625
289,48.973218576807625
290,48.973218576807625
291,48.973218576807625
292,48.973218576807625
293,48.973218576807625
294,48.973218576807625
295,48.973218576807625
296,48.973218576807625
297,48.97565310008298
298,48.97349142712657
299,48.97349142712657
300,48.97349142712657
301,48.97349142712657
302,48.97349142712657
303,48.97349142712657
304,48.97349142712657
305,48.97349142712657
306,48.97349142712657
307,48.97295963325838
308,48.97295963325838
309,48.97295798254311
310,48.97295798254311
311,48.97295798254311
312,48.972643994996965
313,48.97515897314589
314,48.97480558773359
315,48.97480558773359
316,48.97480558773359
317,48.97480558773359
318,48.97480558773359
319,48.97480558773359
320,48.97480558773359
321,48.97480558773359
322,48.97480558773359
323,48.97480558773359
324,48.97480558773359
325,48.97346660272451
326,48.97480712547848
327,48.97480712547848
328,48.97480712547848
329,48.97598887615513
330,48.97480712547848
331,48.973724691663236
332,48.973724691663236
333,48.973724691663236
334,48.973724691663236
335,48.973724691663236
336,48.973724691663236
337,48.97688908472758
338,48.976000248178
339,48.97480712547848
340,48.97480712547848
341,48.97480712547848
342,48.97480712547848
343,48.97480712547848
344,48.97511911856439
345,48.97480712547848
346,48.97480712547848
347,48.97480712547848
348,48.97480712547848
349,48.97480712547848
350,48.97480712547848
351,48.97480712547848
352,48.97480712547848
353,48.97480712547848
354,48.97480712547848
355,48.97480712547848
356,48.97480712547848
357,48.97480712547848
358,48.97480712547848
359,48.97480712547848
360,48.97480712547848
361,48.97480712547848
362,48.97480712547848
363,48.97480712547848
364,48.97480712547848
365,48.97480712547848
366,48.97480712547848
367,48.97480712547848
368,48.97480712547848
369,48.97480712547848
370,48.97480712547848
371,48.97480712547848
372,48.97480712547848
373,48.97480712547848
374,48.97480712547848
375,48.97480712547848
376,48.97480712547848
377,48.97480712547848
378,48.97480712547848
379,48.97480712547848
380,48.97480712547848
381,48.97480712547848
382,48.97480712547848
383,48.97480712547848
384,48.97480712547848
385,48.97480712547848
386,48.97480712547848
387,48.97480712547848
388,48.97480712547848
389,48.97480712547848
390,48.97480712547848
391,48.97480712547848
392,48.97480712547848
393,48.97480712547848
394,48.97480712547848
395,48.97480712547848
396,48.97480712547848
397,48.97480712547848
398,48.97480712547848
399,48.97480712547848
400,48.97480712547848
401,48.97480712547848
402,48.97480712547848
403,48.97480712547848
404,48.97480712547848
405,48.97480712547848
406,48.97480712547848
407,48.97480712547848
408,48.97480712547848
409,48.97480712547848
410,48.97480712547848
411,48.97480712547848
412,48.97480712547848
413,48.97480712547848
414,48.97480712547848
415,48.97480712547848
416,48.97480712547848
417,48.97480712547848
418,48.97480712547848
419,48.97480712547848
420,48.97480712547848
421,48.97480712547848
422,48.97480712547848
423,48.97480712547848
424,48.97480712547848
425,48.97480712547848
426,48.97480712547848
427,48.97480712547848
428,48.97480712547848
429,48.97480712547848
430,48.97480712547848
431,48.97480712547848
432,48.97480712547848
433,48.97480712547848
434,48.97480712547848
435,48.97480712547848
436,48.97480712547848
437,48.97480712547848
438,48.97480712547848
439,48.97480712547848
440,48.97480712547848
441,48.97480712547848
442,48.97480712547848
443,48.97480712547848
444,48.97480712547848
445,48.97480712547848
446,48.97480712547848
447,48.97480712547848
448,48.97480712547848
449,48.97480712547848
450,48.97480712547848
