radius_px,mean_curl
0,4.871440614806488e-05
1,0.00016441116167698056
2,0.00021769257728010416
3,0.00022773996170144528
4,0.0003531795518938452
5,0.0003550063702277839
6,0.00033491168869659305
7,0.00032273304532282054
