step,vortices_pos,vortices_neg,net_local_charge
0,18,17,1
1,17,18,-1
2,17,16,1
3,17,16,1
4,17,16,1
5,17,16,1
6,17,16,1
7,16,15,1
8,16,15,1
9,12,13,-1
10,14,12,2
11,14,12,2
12,14,12,2
13,15,13,2
14,14,12,2
15,14,12,2
16,12,11,1
17,13,11,2
18,14,12,2
19,14,11,3
20,14,12,2
21,12,10,2
22,12,10,2
23,12,10,2
24,10,10,0
25,8,10,-2
26,7,10,-3
27,10,9,1
28,10,9,1
29,9,8,1
30,9,9,0
31,10,8,2
32,8,6,2
33,8,8,0
34,8,8,0
35,8,8,0
36,7,8,-1
37,10,8,2
38,9,10,-1
39,8,8,0
40,9,9,0
41,10,9,1
42,9,9,0
43,9,8,1
44,11,11,0
45,8,8,0
46,8,8,0
47,7,6,1
48,6,6,0
49,8,7,1
50,7,7,0
51,7,6,1
52,6,5,1
53,6,4,2
54,5,3,2
55,5,6,-1
56,5,3,2
57,4,4,0
58,4,6,-2
59,5,4,1
60,5,4,1
61,5,4,1
62,4,2,2
63,4,4,0
64,4,4,0
65,4,3,1
66,4,3,1
67,4,4,0
68,4,3,1
69,4,4,0
70,4,3,1
71,4,3,1
72,4,4,0
73,3,3,0
74,4,3,1
75,4,3,1
76,5,3,2
77,4,3,1
78,4,4,0
79,5,4,1
80,4,4,0
81,5,3,2
82,5,3,2
83,4,3,1
84,4,3,1
85,4,2,2
86,4,3,1
87,5,4,1
88,5,4,1
89,4,3,1
90,3,2,1
91,3,2,1
92,3,2,1
93,3,2,1
94,3,2,1
95,3,2,1
96,3,2,1
97,3,2,1
98,3,2,1
99,3,2,1
100,3,2,1
101,2,2,0
102,2,3,-1
103,4,2,2
104,3,2,1
105,3,2,1
106,3,2,1
107,3,2,1
108,3,2,1
109,4,2,2
110,4,2,2
111,4,2,2
112,4,2,2
113,4,2,2
114,4,2,2
115,4,2,2
116,4,2,2
117,4,2,2
118,4,2,2
119,4,2,2
120,4,2,2
121,4,2,2
122,4,2,2
123,4,2,2
124,4,2,2
125,4,2,2
126,4,2,2
127,4,2,2
128,4,2,2
129,4,2,2
130,4,2,2
131,4,2,2
132,4,2,2
133,4,2,2
134,4,2,2
135,4,2,2
136,4,2,2
137,4,2,2
138,4,2,2
139,4,2,2
140,4,2,2
141,4,2,2
142,4,2,2
143,4,2,2
144,4,2,2
145,4,2,2
146,4,2,2
147,4,2,2
148,4,2,2
149,3,2,1
150,4,2,2
151,4,2,2
152,4,2,2
153,4,2,2
154,3,2,1
155,3,2,1
156,3,2,1
157,3,1,2
158,3,1,2
159,2,1,1
160,2,1,1
161,2,1,1
162,3,1,2
163,3,1,2
164,2,1,1
165,2,1,1
166,3,1,2
167,2,1,1
168,3,1,2
169,3,1,2
170,3,1,2
171,3,1,2
172,2,1,1
173,3,1,2
174,2,1,1
175,2,1,1
176,2,1,1
177,2,1,1
178,2,1,1
179,2,2,0
