metric,value
noise_strength,0.005
drift_strength,-0.004
M2_total,1.6384e+16
peak_phi,2057.518054784225
peak_phi_abs,2057.518054784225
final_particle_count,3757
final_com_dist,1.9501728425441027
SBR,4072.181608445348
