radius_px,mean_curl
0,0.0003984012291766703
1,8.403776155319065e-05
2,2.0231302187312394e-05
3,4.980016456102021e-05
4,4.150007498537889e-06
5,3.735010977834463e-05
6,-8.403777610510588e-05
7,-3.735009886440821e-05
