y,x,phi
0,0,1000000.0
0,20,1000000.0
0,40,1000000.0
0,60,1000000.0
0,80,1000000.0
0,100,1000000.0
0,120,1000000.0
20,0,1000000.0
20,20,1000000.0
20,40,1000000.0
20,60,1000000.0
20,80,1000000.0
20,100,1000000.0
20,120,1000000.0
40,0,1000000.0
40,20,1000000.0
40,40,1000000.0
40,60,1000000.0
40,80,1000000.0
40,100,1000000.0
40,120,1000000.0
60,0,1000000.0
60,20,1000000.0
60,40,1000000.0
60,60,1000000.0
60,80,1000000.0
60,100,1000000.0
60,120,1000000.0
80,0,1000000.0
80,20,1000000.0
80,40,1000000.0
80,60,1000000.0
80,80,1000000.0
80,100,1000000.0
80,120,1000000.0
100,0,1000000.0
100,20,1000000.0
100,40,1000000.0
100,60,1000000.0
100,80,1000000.0
100,100,1000000.0
100,120,1000000.0
120,0,1000000.0
120,20,1000000.0
120,40,1000000.0
120,60,1000000.0
120,80,1000000.0
120,100,1000000.0
120,120,1000000.0
