step,num_pos,num_neg,net_charge,total_vortices
310,19,21,-2,40
311,18,20,-2,38
312,18,20,-2,38
313,18,20,-2,38
314,18,20,-2,38
315,19,20,-1,39
316,19,20,-1,39
317,19,20,-1,39
318,19,20,-1,39
319,19,20,-1,39
320,19,20,-1,39
321,19,20,-1,39
322,19,20,-1,39
323,19,20,-1,39
324,19,20,-1,39
325,19,20,-1,39
326,19,20,-1,39
327,19,20,-1,39
328,19,20,-1,39
329,19,20,-1,39
330,19,20,-1,39
331,19,20,-1,39
332,18,19,-1,37
333,18,19,-1,37
334,18,19,-1,37
335,18,19,-1,37
336,18,19,-1,37
337,18,19,-1,37
338,18,19,-1,37
339,18,19,-1,37
340,18,19,-1,37
341,18,19,-1,37
342,18,19,-1,37
343,18,19,-1,37
344,19,20,-1,39
345,18,19,-1,37
346,18,19,-1,37
347,18,19,-1,37
348,18,19,-1,37
349,17,18,-1,35
350,17,18,-1,35
351,17,18,-1,35
352,17,18,-1,35
353,17,18,-1,35
354,17,18,-1,35
355,17,18,-1,35
356,17,18,-1,35
357,17,18,-1,35
358,17,18,-1,35
359,17,18,-1,35
360,17,18,-1,35
361,17,18,-1,35
362,17,18,-1,35
363,17,18,-1,35
364,17,18,-1,35
365,17,18,-1,35
366,17,18,-1,35
367,17,18,-1,35
368,17,18,-1,35
369,17,18,-1,35
370,17,18,-1,35
371,17,18,-1,35
372,17,18,-1,35
373,16,17,-1,33
374,16,17,-1,33
375,16,17,-1,33
376,16,17,-1,33
377,15,16,-1,31
378,15,16,-1,31
379,15,16,-1,31
380,15,16,-1,31
381,15,16,-1,31
382,15,16,-1,31
383,15,16,-1,31
384,15,16,-1,31
385,15,16,-1,31
386,15,16,-1,31
387,16,16,0,32
388,15,15,0,30
389,15,15,0,30
390,15,15,0,30
391,15,15,0,30
392,15,15,0,30
393,15,15,0,30
394,15,15,0,30
395,15,15,0,30
396,15,15,0,30
397,15,15,0,30
398,15,15,0,30
399,15,15,0,30
400,15,15,0,30
401,15,15,0,30
402,15,15,0,30
403,15,15,0,30
404,15,15,0,30
405,15,15,0,30
406,15,15,0,30
407,15,15,0,30
408,15,15,0,30
409,15,15,0,30
410,15,15,0,30
411,15,15,0,30
412,15,15,0,30
413,15,15,0,30
414,15,15,0,30
415,15,15,0,30
416,15,15,0,30
417,15,15,0,30
418,14,14,0,28
419,14,14,0,28
420,14,14,0,28
421,14,14,0,28
422,14,14,0,28
423,14,14,0,28
424,14,14,0,28
425,14,14,0,28
426,14,14,0,28
427,14,14,0,28
428,14,14,0,28
429,14,14,0,28
430,14,14,0,28
431,14,14,0,28
432,14,14,0,28
433,14,14,0,28
434,14,14,0,28
435,13,13,0,26
436,13,13,0,26
437,13,13,0,26
438,13,13,0,26
439,13,13,0,26
440,13,13,0,26
441,13,13,0,26
442,12,12,0,24
443,12,12,0,24
444,11,11,0,22
445,11,11,0,22
446,11,11,0,22
447,11,11,0,22
448,11,11,0,22
449,11,11,0,22
450,11,11,0,22
451,11,11,0,22
452,11,11,0,22
453,11,11,0,22
454,11,11,0,22
455,11,11,0,22
456,11,11,0,22
457,10,10,0,20
458,10,10,0,20
459,10,10,0,20
460,10,10,0,20
461,10,10,0,20
462,10,10,0,20
463,10,10,0,20
464,10,10,0,20
465,10,10,0,20
466,10,10,0,20
467,10,10,0,20
468,10,10,0,20
469,10,10,0,20
470,10,10,0,20
471,10,10,0,20
472,10,10,0,20
473,10,10,0,20
474,10,10,0,20
475,10,10,0,20
476,10,10,0,20
477,10,10,0,20
478,10,10,0,20
479,10,10,0,20
480,10,10,0,20
481,10,10,0,20
482,10,10,0,20
483,10,10,0,20
484,10,10,0,20
485,10,10,0,20
486,10,10,0,20
487,10,10,0,20
488,10,10,0,20
489,10,10,0,20
490,10,10,0,20
491,10,10,0,20
492,10,10,0,20
493,10,10,0,20
494,10,10,0,20
495,10,10,0,20
496,10,10,0,20
497,10,10,0,20
498,10,10,0,20
499,10,10,0,20
500,10,10,0,20
501,10,10,0,20
502,10,10,0,20
503,10,10,0,20
504,10,10,0,20
505,10,10,0,20
506,10,10,0,20
507,10,10,0,20
508,10,10,0,20
509,10,10,0,20
510,10,10,0,20
511,10,10,0,20
512,10,10,0,20
513,10,10,0,20
514,10,10,0,20
515,10,10,0,20
516,10,10,0,20
517,10,10,0,20
518,10,10,0,20
519,10,10,0,20
520,10,10,0,20
521,10,10,0,20
522,10,10,0,20
523,10,10,0,20
524,10,10,0,20
525,10,10,0,20
526,10,10,0,20
527,10,10,0,20
528,10,10,0,20
529,10,10,0,20
530,10,10,0,20
531,10,10,0,20
532,10,10,0,20
533,10,10,0,20
534,10,10,0,20
535,10,10,0,20
536,10,10,0,20
537,10,10,0,20
538,10,10,0,20
539,10,10,0,20
540,10,10,0,20
541,10,10,0,20
542,10,10,0,20
543,10,10,0,20
544,10,10,0,20
545,9,9,0,18
546,9,9,0,18
547,9,9,0,18
548,9,9,0,18
549,9,9,0,18
550,9,9,0,18
551,9,9,0,18
552,9,9,0,18
553,9,9,0,18
554,9,9,0,18
555,9,9,0,18
556,9,9,0,18
557,9,9,0,18
558,9,9,0,18
559,9,9,0,18
560,9,9,0,18
561,9,9,0,18
562,9,9,0,18
563,9,9,0,18
564,9,9,0,18
565,9,9,0,18
566,9,9,0,18
567,9,9,0,18
568,9,9,0,18
569,9,9,0,18
570,9,9,0,18
571,9,9,0,18
572,9,9,0,18
573,9,9,0,18
574,9,9,0,18
575,9,9,0,18
576,9,9,0,18
577,9,9,0,18
578,9,9,0,18
579,9,9,0,18
580,9,9,0,18
581,9,9,0,18
582,9,9,0,18
583,9,9,0,18
584,9,9,0,18
585,9,9,0,18
586,9,9,0,18
587,9,9,0,18
588,9,9,0,18
589,9,9,0,18
590,9,9,0,18
591,9,9,0,18
592,9,9,0,18
593,9,9,0,18
594,9,9,0,18
595,9,9,0,18
596,9,9,0,18
597,9,9,0,18
598,9,9,0,18
599,9,9,0,18
600,9,9,0,18
601,9,9,0,18
602,9,9,0,18
603,9,9,0,18
604,9,9,0,18
605,9,9,0,18
606,9,9,0,18
607,9,9,0,18
608,9,9,0,18
609,9,9,0,18
610,9,9,0,18
611,9,9,0,18
612,9,9,0,18
613,9,9,0,18
614,9,9,0,18
615,9,9,0,18
616,9,9,0,18
617,9,9,0,18
618,9,9,0,18
619,9,9,0,18
620,9,9,0,18
621,9,9,0,18
622,9,9,0,18
623,9,9,0,18
624,9,9,0,18
625,9,9,0,18
626,9,9,0,18
627,9,9,0,18
628,9,9,0,18
629,9,9,0,18
630,9,9,0,18
631,9,9,0,18
632,9,9,0,18
633,9,9,0,18
634,9,9,0,18
635,9,9,0,18
636,9,9,0,18
637,9,9,0,18
638,9,9,0,18
639,9,9,0,18
640,9,9,0,18
641,9,9,0,18
642,9,9,0,18
643,9,9,0,18
644,9,9,0,18
645,9,9,0,18
646,9,9,0,18
647,9,9,0,18
648,9,9,0,18
649,9,9,0,18
650,9,9,0,18
651,9,9,0,18
652,9,9,0,18
653,9,9,0,18
654,9,9,0,18
655,9,9,0,18
656,9,9,0,18
657,9,9,0,18
658,9,9,0,18
659,9,9,0,18
660,8,8,0,16
661,8,8,0,16
662,8,8,0,16
663,8,8,0,16
664,8,8,0,16
665,8,8,0,16
666,8,8,0,16
667,8,8,0,16
668,8,8,0,16
669,8,8,0,16
670,8,8,0,16
671,8,8,0,16
672,8,8,0,16
673,8,8,0,16
674,8,8,0,16
675,8,8,0,16
676,8,8,0,16
677,8,8,0,16
678,8,8,0,16
679,8,8,0,16
680,8,8,0,16
681,8,8,0,16
682,8,8,0,16
683,8,8,0,16
684,8,8,0,16
685,8,8,0,16
686,8,8,0,16
687,8,8,0,16
688,8,8,0,16
689,8,8,0,16
690,8,8,0,16
691,8,8,0,16
692,8,8,0,16
693,8,8,0,16
694,8,8,0,16
695,8,8,0,16
696,8,8,0,16
697,8,8,0,16
698,8,8,0,16
699,8,8,0,16
700,8,8,0,16
701,8,8,0,16
702,8,8,0,16
703,8,8,0,16
704,8,8,0,16
705,8,8,0,16
706,8,8,0,16
707,8,8,0,16
708,8,8,0,16
709,8,8,0,16
710,7,7,0,14
711,7,7,0,14
712,7,7,0,14
713,7,7,0,14
714,7,7,0,14
715,7,7,0,14
716,7,7,0,14
717,7,7,0,14
718,7,7,0,14
719,7,7,0,14
720,7,7,0,14
721,7,7,0,14
722,7,7,0,14
723,7,7,0,14
724,7,7,0,14
725,7,7,0,14
726,7,7,0,14
727,7,7,0,14
728,7,7,0,14
729,7,7,0,14
730,7,7,0,14
731,7,7,0,14
732,7,7,0,14
733,7,7,0,14
734,7,7,0,14
735,7,7,0,14
736,7,7,0,14
737,7,7,0,14
738,7,7,0,14
739,7,7,0,14
740,7,7,0,14
741,7,7,0,14
742,7,7,0,14
743,7,7,0,14
744,7,7,0,14
745,7,7,0,14
746,7,7,0,14
747,7,7,0,14
748,7,7,0,14
749,7,7,0,14
750,7,7,0,14
