step,central_amplitude
514,2.9712130272517142e+69
515,4.1720397220976794e+69
516,5.858147245734137e+69
517,8.225633626519353e+69
518,1.1549832721878841e+70
519,1.6217328165967346e+70
520,2.2770901143572757e+70
521,3.19726369851491e+70
522,4.489252622984724e+70
523,6.303285900592147e+70
524,8.850287167860529e+70
525,1.2426394513696466e+71
526,1.744738534968368e+71
527,2.44970073139176e+71
528,3.4394832241220746e+71
529,4.8291518969715815e+71
530,6.780255578666157e+71
531,9.519602469673465e+71
532,1.336562069143293e+72
533,1.8765366131318076e+72
534,2.6346477878352207e+72
535,3.699011827349909e+72
536,5.193337268765436e+72
537,7.29130068121771e+72
538,1.0236728408682302e+73
539,1.437192910255393e+73
540,2.017746871221421e+73
541,2.8328008857242306e+73
542,3.977069551719091e+73
543,5.58352044764437e+73
544,7.838822719326152e+73
545,1.1005034280320405e+74
546,1.5450046833040486e+74
547,2.1690325142813593e+74
548,3.0450904943637927e+74
549,4.2749618350575086e+74
550,6.001532947631879e+74
551,8.425391285261216e+74
552,1.1828125191098831e+75
553,1.6605031802224696e+75
554,2.3311031619286076e+75
555,3.272512200814674e+75
556,4.594085472751348e+75
557,6.449334453681428e+75
558,9.05375578987916e+75
559,1.2709858525666012e+76
560,1.784229586536203e+76
561,2.5047180895437703e+76
562,3.516131257143437e+76
563,4.935934997339327e+76
564,6.929021771969653e+76
565,9.726858019494333e+76
566,1.3654361563551206e+77
567,1.9167629529153613e+77
568,2.6906896957509094e+77
569,3.7770874451450956e+77
570,5.302109503505788e+77
571,7.442838405062948e+77
572,1.0447845569418576e+78
573,1.4666050325831645e+78
574,2.058722839279413e+78
575,2.8898872119806057e+78
576,4.056600280697362e+78
577,5.694319949561355e+78
578,7.993184795574376e+78
579,1.1220086215362226e+79
580,1.5749649737577237e+79
581,2.210772143499655e+79
582,3.103240671015358e+79
583,4.355974581455632e+79
584,6.114396968674607e+79
585,8.582629284978905e+79
586,1.2047183288171053e+80
587,1.6910215197932097e+80
588,2.373620127587065e+80
589,3.331745152598468e+80
590,4.6766064232562e+80
591,6.564299225444896e+80
592,9.213919837519218e+80
593,1.2932992121953077e+81
594,1.815315565611709e+81
595,2.5480256551545887e+81
596,3.5764653254522093e+81
597,5.019989512369483e+81
598,7.046122355895622e+81
599,9.889996582626536e+81
600,1.388163765054863e+82
601,1.9484258298511422e+82
602,2.734800654907326e+82
603,3.8385403064040685e+82
604,5.3877220026431605e+82
605,7.562108531630377e+82
606,1.0614005233017255e+83
607,1.4897533232539064e+83
608,2.0909714959325716e+83
609,2.934813825945857e+83
610,4.1191888587673876e+83
611,5.781513788606131e+83
612,8.114656691743725e+83
613,1.1389311439623662e+84
614,1.5985400790597785e+84
615,2.243615037524732e+84
616,3.148994601771885e+84
617,4.419714953671607e+84
618,6.2031943077770694e+84
619,8.706333489126995e+84
620,1.2219516148794181e+85
621,1.7150292356988274e+85
622,2.4070652412857726e+85
623,3.378337391066533e+85
624,4.741513719694364e+85
625,6.654720887746324e+85
626,9.339885001071188e+85
627,1.3108472031774815e+86
628,1.839761312343382e+86
629,2.5820804406629556e+86
630,3.623906114575388e+86
631,5.086077807920822e+86
632,7.138187676087436e+86
633,1.0018249257559292e+87
634,1.4060301061379993e+87
635,1.973314610045383e+87
636,2.7694719754948784e+87
637,3.886839058786649e+87
638,5.455004201452719e+87
639,7.655835193816307e+87
640,1.0744569644374448e+88
641,1.5079413316000064e+88
642,2.1163078498611545e+88
643,2.9701078931920225e+88
644,4.16835406853547e+88
645,5.85000150041947e+88
646,8.210060555963756e+88
647,1.1522209242145974e+89
648,1.6170527096698543e+89
649,2.2694029951983177e+89
650,3.1849169083748895e+89
651,4.469754102215824e+89
652,6.272897715715741e+89
653,8.803428405874768e+89
654,1.2354766166730702e+90
655,1.7338690449150355e+90
656,2.433308271257372e+90
657,3.4148926390296356e+90
658,4.79243317493757e+90
659,6.7256486070138075e+90
660,9.438682613108001e+90
661,1.3246089980901432e+91
662,1.8589304188590373e+91
663,2.608781395340921e+91
664,3.661098138504439e+91
665,5.1378827167389095e+91
666,7.21034660308582e+91
667,1.0118758788298213e+92
668,1.420029925220936e+92
669,1.992814653280904e+92
670,2.79663303276703e+92
671,3.924670744021659e+92
672,5.507698374860975e+92
673,7.729230345131915e+92
674,1.0846797672077286e+93
675,1.5221800337124778e+93
676,2.1361399455580257e+93
677,2.9977304941541573e+93
678,4.206827263827229e+93
679,5.903587291120565e+93
680,8.2846948966572655e+93
681,1.1626159459144189e+94
682,1.6315307477164746e+94
683,2.2895676880769334e+94
684,3.2130016909482583e+94
685,4.508869526646501e+94
686,6.327375887588622e+94
687,8.879302666487764e+94
688,1.2460439122848424e+95
689,1.7485864298713447e+95
690,2.453805484578286e+95
691,3.443439367243121e+95
692,4.832190318771891e+95
693,6.781018196105501e+95
694,9.515795094773949e+95
695,1.3353482810225361e+96
696,1.873886681465754e+96
697,2.6296103772024786e+96
698,3.6901056272080496e+96
699,5.178279735879789e+96
700,7.266604769650444e+96
701,1.0197105155321056e+97
702,1.4309405382315739e+97
703,2.0080088032825486e+97
704,2.8177922989656778e+97
705,3.954136778788631e+97
706,5.548731978570497e+97
707,7.78637221624317e+97
708,1.0926370731315834e+98
709,1.5332609179838786e+98
710,2.1515704283567177e+98
711,3.019217767426951e+98
712,4.236748515792601e+98
713,5.94525262265409e+98
714,8.342713398902255e+98
715,1.1706948925514767e+99
716,1.6427804099891936e+99
717,2.305232338667214e+99
718,3.234813836410171e+99
719,4.539241462020396e+99
720,6.369666397376341e+99
721,8.938188348231466e+99
722,1.2542431370232476e+100
723,1.7600029075346816e+100
724,2.469701478623799e+100
725,3.4655723238247758e+100
726,4.863007102756027e+100
727,6.8239255071023365e+100
728,9.57553593746482e+100
729,1.3436660607042545e+101
730,1.8854675055027678e+101
731,2.6457341791103035e+101
732,3.7125543348925114e+101
733,5.209534130706034e+101
734,7.310118534461631e+101
735,1.02576863732895e+102
736,1.4393747610996898e+102
737,2.0197509589624678e+102
738,2.834139606809056e+102
739,3.9768951014388465e+102
740,5.580415235370486e+102
741,7.830479965619217e+102
742,1.0987774559498307e+103
743,1.5418090539406962e+103
744,2.1634703135642125e+103
745,3.035783454562079e+103
746,4.25980915935407e+103
747,5.977354366859187e+103
748,8.387400381183646e+103
749,1.1769154394517728e+104
750,1.651439479083375e+104
751,2.3172857197543965e+104
752,3.251591889627787e+104
753,4.5625958878767575e+104
754,6.402174507337714e+104
755,8.983437359309994e+104
756,1.2605414068131833e+105
757,1.7687694465930853e+105
758,2.481903443667267e+105
759,3.4825557778723033e+105
760,4.886645436008425e+105
761,6.856825985611382e+105
762,9.621327140815528e+105
763,1.3500392427296202e+106
764,1.8943375328201545e+106
765,2.6580790884520894e+106
766,3.7297352031977714e+106
767,5.23344506314049e+106
768,7.343395372841876e+106
769,1.030399710961441e+107
770,1.44581964858305e+107
771,2.0287199369598162e+107
772,2.846621040756975e+107
773,3.9942643028616885e+107
774,5.6045859228711004e+107
775,7.864115000051982e+107
776,1.1034579145510972e+108
