y,x,phi
0,0,2858.0402841667456
0,20,2839.674722270888
0,40,2816.7766277359624
0,60,2842.1904158250704
0,80,2815.526896155365
0,100,2813.6870378320136
0,120,2821.523075032033
20,0,2809.0767435204684
20,20,2818.1026886092236
20,40,2820.8171719579714
20,60,2816.990876472892
20,80,2821.0550136269817
20,100,2825.124426018649
20,120,2823.5854012087098
40,0,2818.2888316357266
40,20,2814.87243048045
40,40,2814.888907329895
40,60,2823.9639543192698
40,80,2810.118245509974
40,100,2801.6291521258495
40,120,2822.1475088774077
60,0,2810.1271216537593
60,20,2820.9079953216324
60,40,2808.4291731085605
60,60,2820.299632953959
60,80,2836.6289872959237
60,100,2816.311128995501
60,120,2812.7147666181004
80,0,2812.5482694366037
80,20,2811.2271689439563
80,40,2820.191392936367
80,60,2821.932777095693
80,80,2819.129891526057
80,100,2846.8353549473277
80,120,2807.489305996417
100,0,2820.3856418060864
100,20,2820.816478106907
100,40,2814.7793285393723
100,60,2823.0882425310074
100,80,2810.853531534298
100,100,2832.20659375367
100,120,2807.0832278287144
120,0,2828.4307178712697
120,20,2825.9582753476016
120,40,2837.945945043752
120,60,2805.18166955997
120,80,2818.235637313729
120,100,2818.3428293519974
120,120,2817.0960572907734
