id,step,y,x,amplitude
0,0,0,9,0.15124680401169846
1,0,0,18,0.16450938125841255
2,0,0,33,0.1605896236754938
3,0,0,36,0.20399187473290728
4,0,0,55,0.13489835949103268
5,0,0,67,0.26909365333219554
6,0,0,86,0.17961246636752085
7,0,0,96,0.14886862189019365
8,0,0,101,0.14746550563841512
9,0,0,103,0.13330237224447766
10,0,0,108,0.20358798486289117
11,0,0,111,0.1653572891328096
12,0,0,114,0.1382545353985921
13,0,0,121,0.12325048343922929
14,0,0,124,0.1901814352093318
15,0,1,5,0.19699774567719733
16,0,1,13,0.1498752638200808
17,0,1,42,0.14961539714878044
18,0,1,64,0.15238322648154812
19,0,1,83,0.18067026798142596
20,0,2,1,0.16361051534663934
21,0,2,32,0.1785707605875346
22,0,2,45,0.20358678289876683
23,0,2,51,0.19770969541832548
24,0,2,57,0.1517391459850132
25,0,2,73,0.20725568187478988
26,0,2,89,0.1630544423587641
27,0,2,98,0.16819758889486297
28,0,2,111,0.1639838365473468
29,0,2,121,0.1736430168932971
30,0,3,10,0.12495329619510337
31,0,3,26,0.16301530375147102
32,0,3,30,0.16272726792905717
33,0,3,48,0.19045202671648645
34,0,3,60,0.12584885507550633
35,0,3,63,0.12952815890894734
36,0,3,65,0.13370433706385296
37,0,3,67,0.19742175037112056
38,0,3,77,0.2012803446853029
39,0,3,94,0.13649709982620292
40,0,3,100,0.14200650350419067
41,0,3,105,0.1508208357165221
42,0,3,108,0.13889436223941942
43,0,4,1,0.1757377646175395
44,0,4,8,0.22704855650138442
45,0,4,16,0.14065568211504068
46,0,4,20,0.18370465198067895
47,0,4,22,0.15488564645125988
48,0,4,40,0.12430305772260242
49,0,4,42,0.22266456525368392
50,0,4,44,0.12973037063233112
51,0,4,50,0.13690763012759485
52,0,4,70,0.12285418079787357
53,0,4,90,0.22240922009012504
54,0,4,103,0.1502878156799705
55,0,4,117,0.217286534701166
56,0,4,119,0.18438328590309502
57,0,5,26,0.14560800544674776
58,0,5,35,0.13068700727414917
59,0,5,59,0.16460129664778755
60,0,5,78,0.16125110236067164
61,0,5,81,0.14902668249889153
62,0,5,96,0.17337708926338433
63,0,5,111,0.16108632727517186
64,0,5,121,0.16262810362197685
65,0,6,2,0.1846411406735377
66,0,6,9,0.163853874278519
67,0,6,23,0.1632014774352232
68,0,6,42,0.20112033962555523
69,0,6,63,0.15911570871067995
70,0,6,67,0.15999190063135943
71,0,6,71,0.15482637376114275
72,0,6,88,0.15998830784424156
73,0,6,104,0.1508650101795963
74,0,6,114,0.1787761944240725
75,0,7,73,0.2005488051573223
76,0,7,92,0.1304146089168654
77,0,7,102,0.20801563491701022
78,0,7,108,0.25071845126064823
79,0,7,112,0.16037658057857193
80,0,7,119,0.20062049679785698
81,0,7,121,0.16993758792554894
82,0,8,2,0.18540108190233956
83,0,8,7,0.1280857386625004
84,0,8,15,0.178652644700202
85,0,8,20,0.16682313296445792
86,0,8,33,0.239556174448327
87,0,8,36,0.1324012289492975
88,0,8,40,0.20106192873667242
89,0,8,52,0.16993144802860352
90,0,8,56,0.14171749674809095
91,0,8,63,0.19292642664836943
92,0,8,69,0.24076309348826017
93,0,8,77,0.1877617755687584
94,0,8,83,0.17134135086278768
95,0,8,90,0.197136777117456
96,0,8,94,0.16267928547079785
97,0,8,96,0.16296679816952878
98,0,8,98,0.12534802058395098
99,0,9,12,0.20540852153444075
100,0,9,17,0.22043955368765258
101,0,9,24,0.20304807803710734
102,0,9,43,0.17607085681340093
103,0,9,49,0.1408803678796293
104,0,9,59,0.21877569063470376
105,0,9,124,0.12001856476806222
106,0,9,127,0.22462685389570017
107,0,10,4,0.1240988376184446
108,0,10,7,0.18114595129549804
109,0,10,33,0.13423736773148634
110,0,10,36,0.12800458306784437
111,0,10,68,0.1332181240087293
112,0,10,86,0.12543898006346368
113,0,10,91,0.19119017751807466
114,0,10,104,0.1635554017287458
115,0,10,106,0.19425676802538752
116,0,10,111,0.20690195006657877
117,0,10,119,0.2735698190019334
118,0,11,12,0.18253862867724724
119,0,11,26,0.18686354859029722
120,0,11,38,0.17696353863326952
121,0,11,41,0.1944582082398047
122,0,11,49,0.15456050075911926
123,0,11,57,0.12465186271286399
124,0,11,61,0.16438975296246347
125,0,11,64,0.1208729935589549
126,0,11,74,0.22983084782278773
127,0,11,88,0.12196066058525698
128,0,11,117,0.14633730836972356
129,0,12,16,0.1919725344221392
130,0,12,19,0.16457767116195654
131,0,12,29,0.1394490026816316
132,0,12,33,0.16715684885297769
133,0,12,69,0.2139112979316406
134,0,12,81,0.1256321775916834
135,0,12,84,0.1975365048203088
136,0,12,95,0.15552291722334327
137,0,12,104,0.1664200304845814
138,0,12,106,0.13585848250761567
139,0,13,12,0.24079916793835676
140,0,13,22,0.17174024851711042
141,0,13,45,0.15064885300886244
142,0,13,48,0.18309072621153205
143,0,13,53,0.1777224567941248
144,0,13,56,0.2036857889824915
145,0,13,59,0.12159698020526413
146,0,13,86,0.15986438389695765
147,0,13,89,0.2600889881561455
148,0,13,118,0.18385297035941697
149,0,13,121,0.13340288719465987
150,0,13,123,0.15923896129050003
151,0,13,126,0.1605438368237179
152,0,14,20,0.1679937695309981
153,0,14,29,0.12111504643192528
154,0,14,36,0.13593603015827707
155,0,14,73,0.1267839485375202
156,0,14,75,0.14267052424056542
157,0,14,79,0.16972076674639197
158,0,14,96,0.1537513390672719
159,0,14,107,0.16809745906436271
160,0,14,111,0.1445524277088828
161,0,14,116,0.12754356276700296
162,0,15,8,0.23477065996971527
163,0,15,13,0.13878923192653514
164,0,15,15,0.16576796454802054
165,0,15,26,0.1693219263057298
166,0,15,34,0.1649801670119363
167,0,15,46,0.17385640282080492
168,0,15,51,0.2705629675286963
169,0,15,63,0.14062064603257937
170,0,15,70,0.12520012040932424
171,0,15,105,0.1815566193576552
172,0,15,127,0.149681574594576
173,0,16,0,0.12736001136326167
174,0,16,6,0.19627452281288002
175,0,16,31,0.24150925565384207
176,0,16,36,0.15135863104826086
177,0,16,42,0.18933022663567248
178,0,16,44,0.20758176168308998
179,0,16,55,0.16213740505215674
180,0,16,57,0.18135243878900711
181,0,16,65,0.1412812057994078
182,0,16,72,0.153461405793839
183,0,16,79,0.12871789648690493
184,0,16,93,0.18675832117512287
185,0,16,118,0.14947357733838174
