y,x,dominant_freq_Hz,energy_J
0,0,3333333333333.333,2.20869005e-21
0,50,3333333333333.333,2.20869005e-21
50,0,3333333333333.333,2.20869005e-21
99,99,3333333333333.333,2.20869005e-21
50,60,3333333333333.333,2.20869005e-21
