step,avg_radius
0,38.524779474260505
1,38.49081761207453
2,38.39505828044139
3,38.042425123002474
4,38.354729600722145
5,38.02821143130719
6,38.09687064892891
7,38.25418303899749
8,38.19920706347131
9,38.35395298373961
10,38.367704797028075
11,38.33109793328979
12,38.32955124594838
13,38.30628384751792
14,38.35692886171816
15,38.286740026098684
16,38.27339759291221
17,38.251751142996376
18,38.26618755573974
19,38.26386880452689
20,38.27780557578288
21,38.25578638709507
22,38.270085092736466
23,38.2585221139618
24,38.28486671501487
25,38.26644625746433
26,38.265828995164426
27,38.255380552424356
28,38.26408321963125
29,38.259234714912076
30,38.260471093643424
31,38.26031234321089
32,38.26354476432297
33,38.25585501358012
34,38.25438946803603
35,38.25001845092378
36,38.248648812797384
37,38.251017108676905
38,38.24865072187416
39,38.24932310597983
40,38.255297961052314
41,38.255771824258844
42,38.25319471773566
43,38.25562266673237
44,38.25622366316219
45,38.256680250719775
46,38.25923485807972
47,38.25807728385855
48,38.26046021831565
49,38.26446492852983
50,38.266303314308914
51,38.26856351486879
52,38.266988999022864
53,38.26697701410556
54,38.266966644671975
55,38.26487001054099
56,38.26654013239815
57,38.26301471084028
58,38.261544206586535
59,38.26350317168937
60,38.26305590296709
61,38.264526149490614
62,38.26673250106279
63,38.269892783386695
64,38.268375980453214
65,38.27097290163207
66,38.27102953447287
67,38.27399430567989
68,38.268220246545745
69,38.265592389639146
70,38.26765507091046
71,38.26867715309756
72,38.266665361558246
73,38.26588496469408
74,38.263793786885884
75,38.26446303713395
76,38.26279445985609
77,38.26132402152911
78,38.262104562357635
79,38.263369647234434
80,38.263369647234434
81,38.26527604979282
82,38.26527604979282
83,38.26447591135023
84,38.26380692754149
85,38.26270084095048
86,38.264962089575185
87,38.267161143535326
88,38.26270084095048
89,38.26447546004361
90,38.26447546004361
91,38.26270084095048
92,38.26270084095048
93,38.26270084095048
94,38.26270084095048
95,38.26270084095048
96,38.26270084095048
97,38.26270084095048
98,38.26270084095048
99,38.26270084095048
100,38.26270084095048
101,38.26270084095048
102,38.26270084095048
103,38.26270084095048
104,38.26270084095048
105,38.26270084095048
106,38.26270084095048
107,38.26270084095048
108,38.26270084095048
109,38.26270084095048
110,38.26270084095048
111,38.26270084095048
112,38.26270084095048
113,38.26270084095048
114,38.26270084095048
115,38.26270084095048
116,38.26270084095048
117,38.26270084095048
118,38.26270084095048
119,38.26270084095048
120,38.26270084095048
121,38.26270084095048
122,38.26270084095048
123,38.26270084095048
124,38.26270084095048
125,38.26270084095048
126,38.26270084095048
127,38.26270084095048
128,38.26270084095048
129,38.26270084095048
130,38.26270084095048
131,38.26270084095048
132,38.26270084095048
133,38.26270084095048
134,38.26270084095048
135,38.26270084095048
