step,center_y,center_x,size
178,127.5,127.5,65536
179,127.5,127.5,65536
180,127.5,127.5,65536
181,127.5,127.5,65536
182,127.5,127.5,65536
183,127.5,127.5,65536
184,127.5,127.5,65536
185,127.5,127.5,65536
186,127.5,127.5,65536
187,127.5,127.5,65536
188,127.5,127.5,65536
189,127.5,127.5,65536
190,127.5,127.5,65536
191,127.5,127.5,65536
192,127.5,127.5,65536
193,127.5,127.5,65536
194,127.5,127.5,65536
195,127.5,127.5,65536
196,127.5,127.5,65536
197,127.5,127.5,65536
198,127.5,127.5,65536
199,127.5,127.5,65536
200,127.5,127.5,65536
201,127.5,127.5,65536
202,127.5,127.5,65536
203,127.5,127.5,65536
204,127.5,127.5,65536
205,127.5,127.5,65536
206,127.5,127.5,65536
207,127.5,127.5,65536
208,127.5,127.5,65536
209,127.5,127.5,65536
210,127.5,127.5,65536
211,127.5,127.5,65536
212,127.5,127.5,65536
213,127.5,127.5,65536
214,127.5,127.5,65536
215,127.5,127.5,65536
216,127.5,127.5,65536
217,127.5,127.5,65536
218,127.5,127.5,65536
219,127.5,127.5,65536
220,127.5,127.5,65536
221,127.5,127.5,65536
222,127.5,127.5,65536
223,127.5,127.5,65536
224,127.5,127.5,65536
225,127.5,127.5,65536
226,127.5,127.5,65536
227,127.5,127.5,65536
228,127.5,127.5,65536
229,127.5,127.5,65536
230,127.5,127.5,65536
231,127.5,127.5,65536
232,127.5,127.5,65536
233,127.5,127.5,65536
234,127.5,127.5,65536
235,127.5,127.5,65536
236,127.5,127.5,65536
237,127.5,127.5,65536
238,127.5,127.5,65536
239,127.5,127.5,65536
240,127.5,127.5,65536
241,127.5,127.5,65536
242,127.5,127.5,65536
243,127.5,127.5,65536
244,127.5,127.5,65536
245,127.5,127.5,65536
246,127.5,127.5,65536
247,127.5,127.5,65536
248,127.5,127.5,65536
249,127.5,127.5,65536
250,127.5,127.5,65536
251,127.5,127.5,65536
252,127.5,127.5,65536
253,127.5,127.5,65536
254,127.5,127.5,65536
255,127.5,127.5,65536
256,127.5,127.5,65536
257,127.5,127.5,65536
258,127.5,127.5,65536
259,127.5,127.5,65536
260,127.5,127.5,65536
261,127.5,127.5,65536
262,127.5,127.5,65536
263,127.5,127.5,65536
264,127.5,127.5,65536
265,127.5,127.5,65536
266,127.5,127.5,65536
267,127.5,127.5,65536
268,127.5,127.5,65536
269,127.5,127.5,65536
270,127.5,127.5,65536
271,127.5,127.5,65536
272,127.5,127.5,65536
273,127.5,127.5,65536
274,127.5,127.5,65536
275,127.5,127.5,65536
276,127.5,127.5,65536
