id,step,y,x,amplitude
0,0,0,18,0.1210121995642602
1,0,0,20,0.15858750125347784
2,0,0,23,0.13467216752802472
3,0,0,25,0.16941731387686806
4,0,0,37,0.1823704981790729
5,0,0,46,0.1304492632602808
6,0,0,58,0.14844121245068304
7,0,0,61,0.17283276810617024
8,0,0,63,0.15202060238280352
9,0,0,70,0.12112621130328757
10,0,0,77,0.2223986076382324
11,0,0,81,0.21568181339068243
12,0,0,90,0.15884108556254597
13,0,0,119,0.18305737582295037
14,0,1,0,0.19003610100936189
15,0,1,13,0.1455754237127677
16,0,1,39,0.12401075075941652
17,0,1,42,0.19784681328936665
18,0,1,66,0.23213911378302296
19,0,1,72,0.12352910181796248
20,0,1,88,0.19341012484706757
21,0,1,99,0.20725348479452532
22,0,1,103,0.15603323879112152
23,0,1,125,0.15691553283411938
24,0,2,18,0.13783256565581464
25,0,2,27,0.1591964722174984
26,0,2,30,0.17671641065927407
27,0,2,35,0.17529508834440427
28,0,2,54,0.12998356735000868
29,0,2,86,0.17234097488059158
30,0,2,91,0.16576792792366304
31,0,2,94,0.1527067278965618
32,0,2,96,0.22475545973762404
33,0,2,106,0.16616101016086696
34,0,2,112,0.16629936040150722
35,0,2,122,0.16450010439842053
36,0,3,10,0.14599087639735361
37,0,3,52,0.15350310996331826
38,0,3,56,0.1627027925994465
39,0,3,62,0.12660744322926962
40,0,3,69,0.12750896645906476
41,0,3,75,0.1654726293473037
42,0,3,117,0.1283628925407747
43,0,4,2,0.2818967421794506
44,0,4,16,0.21933248083163218
45,0,4,23,0.16342525871670274
46,0,4,38,0.21706291315386064
47,0,4,47,0.1313584309447729
48,0,4,54,0.13203252516851918
49,0,4,71,0.17391763809893565
50,0,4,80,0.1810678540805984
51,0,4,84,0.14025070387074906
52,0,4,88,0.18031435797260933
53,0,4,108,0.14589222413619787
54,0,4,125,0.24656300296055988
55,0,5,6,0.15386952686598082
56,0,5,30,0.13919495529528003
57,0,5,43,0.1690588899643979
58,0,5,52,0.1745517388596294
59,0,5,69,0.22927971452058818
60,0,5,78,0.21366782498291678
61,0,6,13,0.1603854748764364
62,0,6,20,0.12540717288784775
63,0,6,24,0.17244991017976152
64,0,6,26,0.16617404090771795
65,0,6,34,0.17577805938374508
66,0,6,45,0.12189015049169108
67,0,6,58,0.19099583431347408
68,0,6,64,0.15388127080798256
69,0,6,85,0.1653985156738064
70,0,6,89,0.2187164870351238
71,0,6,92,0.14311416018330697
72,0,6,97,0.16001093513456502
73,0,6,99,0.17735111637757076
74,0,6,118,0.18335422965040493
75,0,6,121,0.1534681867322734
76,0,6,127,0.16524778739530435
77,0,7,0,0.16145259383580446
78,0,7,7,0.16480885992442887
79,0,7,10,0.12431726094869229
80,0,7,16,0.17834814429817616
81,0,7,29,0.15605304014325558
82,0,7,31,0.12958546654277825
83,0,7,38,0.12857138885712371
84,0,7,53,0.12685974878223175
85,0,7,55,0.12525909716439837
86,0,7,61,0.17252193982561337
87,0,7,67,0.16904503556639072
88,0,7,123,0.13322481157507524
89,0,8,12,0.15368120024517687
90,0,8,19,0.22268075585124797
91,0,8,35,0.1977769357455723
92,0,8,43,0.14869908390602504
93,0,8,50,0.16783764607627663
94,0,8,64,0.16175739045621448
95,0,8,69,0.19511889046297703
96,0,8,72,0.13262126373298827
97,0,8,83,0.1906915758461446
98,0,8,91,0.24257840107456932
99,0,8,102,0.16314770686001953
100,0,8,121,0.14229628297760658
101,0,9,8,0.18707537614791436
102,0,9,10,0.13544497847230788
103,0,9,24,0.15028155780417674
104,0,9,52,0.164624478741941
105,0,9,76,0.23837820540808174
106,0,9,85,0.1420803699949013
107,0,9,89,0.152871581640733
108,0,9,105,0.18845089549946284
109,0,9,108,0.19704935239304053
110,0,9,113,0.14734718125681753
111,0,9,117,0.17210953764295728
112,0,9,125,0.14990881097457687
113,0,10,2,0.2160903289955408
114,0,10,15,0.2033912363962423
115,0,10,26,0.21669598666458556
116,0,10,30,0.17565516019928043
117,0,10,34,0.1628886069503848
118,0,10,40,0.22625023187237467
119,0,10,49,0.13979209916019253
120,0,10,55,0.13447576980548
121,0,10,60,0.14750614563300954
122,0,10,63,0.15563025062707905
123,0,10,67,0.14595271246035935
124,0,10,79,0.18898976583727284
125,0,10,96,0.1251132050115023
126,0,10,100,0.17138419053919185
127,0,10,110,0.1672263308318049
128,0,10,122,0.16044238140464737
129,0,11,4,0.19475766862038837
130,0,11,13,0.22820598526671035
131,0,11,18,0.24899251991134633
132,0,11,24,0.1356661753646551
133,0,11,45,0.1486215275141501
134,0,11,52,0.18277220482303594
135,0,11,81,0.1914090300835831
136,0,12,7,0.2115195469765624
137,0,12,11,0.174244329404046
138,0,12,34,0.18007860467828876
139,0,12,47,0.12022320642606699
140,0,12,49,0.16780594208878968
141,0,12,67,0.1464335132694179
142,0,12,69,0.15688790032175212
143,0,12,89,0.12661052929063957
144,0,12,96,0.13668360080953806
145,0,12,101,0.23491320631977325
146,0,12,110,0.20144828233010642
147,0,12,123,0.2136204249626134
148,0,13,13,0.18978982911395992
149,0,13,21,0.14097856262659927
150,0,13,24,0.18067837545033513
151,0,13,32,0.12123668049638331
152,0,13,39,0.2135809019931318
153,0,13,54,0.2072152542512326
154,0,13,60,0.1742717909762499
155,0,13,62,0.13958618651066151
156,0,13,64,0.25466946075712926
157,0,13,71,0.19261993981384293
158,0,13,73,0.20273558964782634
159,0,13,84,0.193842069201425
160,0,13,87,0.18860613876420895
161,0,13,116,0.14623622926839336
162,0,13,118,0.13201305531286217
163,0,13,120,0.15562168752250324
164,0,14,9,0.16196616339906264
165,0,14,16,0.23341855863516134
166,0,14,19,0.17347980647445488
167,0,14,42,0.13152933319610413
168,0,14,45,0.13121893971846094
169,0,14,50,0.1818549695898648
170,0,14,66,0.1675912455844271
171,0,14,69,0.222026267764299
172,0,14,76,0.15376291648537585
173,0,14,93,0.2235421786470821
174,0,14,95,0.13115960217279873
175,0,14,98,0.2055509116254013
176,0,14,106,0.13468553795191074
177,0,14,112,0.15430717483330308
178,0,15,6,0.17326187697071907
179,0,15,39,0.15544124172727186
180,0,15,63,0.15323458759924494
181,0,15,71,0.19294792118982457
182,0,15,80,0.12459446343711424
183,0,15,91,0.14430978619876536
184,0,15,108,0.12991163676266945
185,0,15,114,0.15039869431339933
186,0,15,127,0.12093330556503432
187,0,16,10,0.19841741626511814
188,0,16,28,0.14334419753926314
189,0,16,46,0.1875094201013495
190,0,16,55,0.12927946784179295
191,0,16,58,0.15782150700612813
192,0,16,74,0.1791099231608005
193,0,16,82,0.28833481622713997
194,0,16,86,0.12691387546188562
195,0,16,89,0.13555180203682404
196,0,16,118,0.1765160049869308
197,0,16,120,0.1576047697180968
198,0,16,125,0.14698124483763075
199,0,17,5,0.1528651991880666
200,0,17,13,0.14415454845692302
201,0,17,21,0.13601668227372143
202,0,17,38,0.15834310203253732
203,0,17,43,0.16638253193473765
204,0,17,52,0.18439694527842562
205,0,17,60,0.13370061001986716
206,0,17,67,0.18076443631168013
207,0,17,72,0.17709506545843942
208,0,17,84,0.19683218828232804
209,0,17,100,0.15829359012978872
210,0,17,104,0.12846622618523756
211,0,17,112,0.14829793821491488
212,0,18,9,0.19583171721062417
213,0,18,16,0.1417903998123704
214,0,18,25,0.20803689679582138
215,0,18,49,0.14400792650844718
216,0,18,78,0.1787798064717539
217,0,18,80,0.20691837334525176
218,0,18,82,0.229855400145462
219,0,18,96,0.14889099714028048
220,0,18,115,0.16274322837941688
221,0,18,118,0.15182079075458332
222,0,19,1,0.14176668792591715
223,0,19,12,0.18741124779284848
224,0,19,34,0.12680986014788956
225,0,19,38,0.13099763206402976
226,0,19,52,0.1545965336933809
227,0,19,55,0.17096525716250696
228,0,19,64,0.1825768357583385
229,0,19,76,0.19485928829791874
230,0,19,120,0.16396354677548558
231,0,20,7,0.20354045752504457
232,0,20,21,0.15288533986698669
233,0,20,24,0.18004439135272585
234,0,20,41,0.14891700418885542
235,0,20,46,0.165551204746591
236,0,20,48,0.17268869506118256
237,0,20,59,0.1551822925983973
238,0,20,66,0.13998321505122122
239,0,20,83,0.14698314306594065
240,0,20,87,0.17228513007273033
241,0,20,92,0.21935689837672764
242,0,20,94,0.1499197171119812
243,0,20,105,0.1533734058884081
244,0,20,109,0.19153686441349668
245,0,21,0,0.12395213647816039
246,0,21,35,0.19233698995118148
247,0,21,52,0.12380978445565248
248,0,21,73,0.15578235489320807
249,0,21,77,0.19158482643399355
250,0,21,85,0.17460359251137533
251,0,21,97,0.1437708483809871
252,0,21,100,0.18339262368578085
253,0,21,103,0.2294521981431741
254,0,22,13,0.12864665049163487
255,0,22,16,0.1429286341812945
256,0,22,25,0.1714649913222871
257,0,22,28,0.1469167251035931
258,0,22,41,0.12039679776137256
259,0,22,65,0.14294468268062732
260,0,22,70,0.2208993775998042
261,0,22,107,0.20688944948081964
262,0,22,110,0.1829353020180635
263,0,22,113,0.22633451506135785
264,0,23,4,0.2306837386119883
265,0,23,6,0.14703378457253652
266,0,23,18,0.1554137256096082
267,0,23,30,0.1219702392916733
268,0,23,38,0.17817394232259076
269,0,23,51,0.19300516286408248
270,0,23,53,0.12236646842911704
271,0,23,61,0.12378560637382278
272,0,23,67,0.1765714543428938
273,0,23,83,0.13766230021355375
274,0,23,95,0.15018477954085815
275,0,23,115,0.2625095185029445
276,0,23,127,0.18851375308528548
277,0,24,11,0.1633207637806405
278,0,24,24,0.17407193496956788
279,0,24,32,0.16760119767927603
280,0,24,36,0.12269486517597053
281,0,24,40,0.13679204018601238
282,0,24,59,0.15097406210236877
283,0,24,65,0.1588976185630529
284,0,24,71,0.19952881572148198
285,0,24,85,0.17370520248844784
286,0,24,92,0.1601935451186581
287,0,24,99,0.16095681460729577
288,0,24,104,0.13111249037531675
289,0,24,107,0.13102604458162384
290,0,25,9,0.15087362164045479
291,0,25,16,0.13570046120596863
292,0,25,20,0.12462500265650031
293,0,25,48,0.27923216245499294
294,0,25,55,0.14238544912988113
295,0,25,68,0.1549433324405454
296,0,25,73,0.2725540078759323
297,0,25,81,0.1228323406541366
298,0,25,94,0.170204002040747
299,0,25,111,0.1250354637632128
300,0,25,113,0.25014090175490605
301,0,25,120,0.12937062841671912
302,0,26,33,0.15317265758986148
303,0,26,57,0.16596910675894927
304,0,26,62,0.14056288433627165
305,0,26,109,0.18582426042015748
306,0,26,116,0.1324781919159414
307,0,26,118,0.14645458216762797
308,0,27,2,0.15311296372736746
309,0,27,4,0.21179678128783377
310,0,27,7,0.19970918966783002
311,0,27,10,0.1510316061088917
312,0,27,21,0.15159655036597078
313,0,27,27,0.15415164454668764
314,0,27,60,0.18205306622428197
315,0,27,68,0.1448836795318638
316,0,27,72,0.16501161157330244
317,0,27,74,0.15724724401054002
318,0,27,81,0.16435635825080022
319,0,27,84,0.18829264138609378
320,0,27,98,0.15572183550233948
321,0,27,125,0.1553592939866835
322,0,28,0,0.25371748908782676
323,0,28,33,0.17953275274015337
324,0,28,39,0.20784161032405338
325,0,28,41,0.2760674712356607
326,0,28,43,0.1886524509995284
327,0,28,54,0.19700651193693605
328,0,28,79,0.22325595082005778
329,0,28,89,0.1495964312881667
330,0,28,109,0.12497491801736356
331,0,28,111,0.12610314894363167
332,0,28,116,0.17216187884180073
333,0,28,123,0.1635025988752223
334,0,29,3,0.1894977832795732
335,0,29,9,0.18011588026283962
336,0,29,13,0.2161899557158583
337,0,29,24,0.1582199174105492
338,0,29,27,0.1225210706487179
339,0,29,59,0.1527063016914647
340,0,29,65,0.13628233879784205
341,0,29,100,0.20645952482883115
342,0,29,103,0.1505946432504451
343,0,29,126,0.27486662512475263
344,0,30,7,0.17148872077816857
345,0,30,16,0.22548786807883406
346,0,30,20,0.1787216504128154
347,0,30,22,0.17665709553177225
348,0,30,29,0.15073220013659425
349,0,30,35,0.2078133630148428
350,0,30,39,0.1771954133535744
351,0,30,45,0.2392987511016243
352,0,30,48,0.1459858909649502
353,0,30,50,0.13245233051435576
354,0,30,56,0.1851500254640861
