step,phi_min,phi_max
0,2.642307243697818e-08,0.8001943876633837
1,4.216396968894315e-07,1.5833425795900355
2,2.78512169919973e-07,1.94325924714125
3,2.5418801210598687e-07,2.492580363881934
4,1.5068169522673865e-06,3.0275804168674796
5,3.879396197061224e-06,3.5486451788699713
6,1.5158955615491421e-06,4.056134864786976
7,5.032160352624688e-06,4.5504393074152425
8,4.693722796320538e-06,5.031894144451411
9,5.4005797285720485e-06,5.300889690806913
10,2.9761452814084516e-07,5.56294559879041
11,2.426122306927793e-06,5.818313716789004
12,1.4718068686397699e-06,6.067130562429245
13,4.3793173816272796e-06,6.309667169974002
14,9.563178877893637e-06,6.546159034011339
15,1.6999848850472593e-05,6.77690891585238
16,2.549497614062491e-05,6.8021227120104175
17,1.4560000152741097e-05,6.827092354849532
18,2.7149194626549e-06,6.852017395961093
19,9.891644923526466e-06,6.876984114820573
20,6.672043222657488e-06,6.902091033884061
21,4.261081822653544e-06,6.927374406244742
22,3.866579727414621e-05,6.952947312773876
23,7.600355677133915e-05,6.978929723436757
24,0.00010300233075144224,7.055727268284585
25,8.99938768112451e-05,7.233465013770098
26,1.0512082007638375e-05,7.410783022981005
27,0.0001380676920287722,7.749635193690721
28,0.00021217852647979982,8.113323970952239
29,0.00024410038481645076,8.475479915569624
30,0.0002724227923174412,8.836169865953288
31,0.0002978385087324641,8.995481860655984
32,0.00032008220828830323,9.154485861770517
33,0.0003389125916586733,9.313300227982909
34,0.000291248148155067,9.47208466067969
35,8.41969170873643e-05,9.631044482768369
36,0.00019433606549689678,9.790444792325776
37,0.00038322154907694905,9.950628498649051
38,0.00037840156676562423,10.112041988131768
39,0.00036482535836133664,10.275231353159183
40,0.0003414422840814983,10.440878073611687
41,0.0003077647033978653,10.60985241683301
42,0.0002624161442139454,10.783269652924089
43,0.0002037820742653594,10.962562542634615
44,0.0001312005110467849,11.149576691578822
45,4.236887372258439e-05,11.346696633252314
46,6.521415016756574e-05,11.557013500452877
47,0.00017785254763596331,12.076708025438915
48,0.0003173105456933897,12.809982182477153
49,0.0004867895824960573,13.732604509795461
50,0.0006903075253110035,14.908017946994097
51,0.0009319655196004389,16.912591616137373
52,0.0012182915378669771,19.75233393865364
53,0.0014315361593845105,23.513511816592526
54,0.001466236182288744,28.50757680559321
55,0.0015042112510206575,35.151635220131496
56,0.0015395441995488225,44.00599944373994
57,0.0015782330973793095,55.824101769549486
58,0.0016148807863884207,71.62071398181114
59,0.001656012274748989,92.76594540670564
60,0.0017022914136378456,121.11592358808221
61,0.001755588144847478,159.19152606540396
62,0.0018118978344941559,210.42417243799832
63,0.0018838640982585294,279.4939076090004
64,0.0019788831981104485,372.7960151993617
