step,phi_min,phi_max
0,6.360333410941668e-08,0.8002043472863913
1,1.1345974001003683e-06,1.587533023323643
2,2.1449200116860173e-06,1.9655466907078025
3,5.588667382378384e-06,2.5345372364675782
4,1.019460327448796e-05,3.0945533771735243
5,1.4049820303484548e-05,3.6457438751946176
6,2.266182945247823e-05,4.188245782138085
7,2.984163382203092e-05,4.722217908547462
8,3.6034894633259334e-05,5.247789858163399
9,4.117131647275447e-05,5.56512833528466
10,4.407980997086631e-05,5.877506675468894
11,4.9822532039099116e-05,6.185048188555835
12,5.810857420305685e-05,6.487807602856504
13,6.011813569871861e-05,6.785925395687427
14,6.1404986907795e-05,7.079506353158911
15,6.23385642780202e-05,7.168723389943647
16,6.80861940244373e-05,7.256839895413635
17,7.873438762674401e-05,7.343921353845763
18,9.415469303088423e-05,7.430036384474613
19,0.00011431354737599948,7.515348346280153
20,0.00014230295967558243,7.59995926506998
21,0.0001794244322480891,7.6839906855817075
22,0.00023138566125698859,7.7675877642484705
23,0.0002904009054127646,7.8507131193952535
24,0.00033344719456279123,7.933773378988121
25,0.00038041369618846204,8.01702373110969
26,0.00042105073981077695,8.100778394868897
27,0.0004262045988682746,8.185407836117188
28,0.00043361852349459157,8.271392068129748
29,0.00045047329074884824,8.359328632022521
30,0.0004812778306313815,8.449964509033418
31,0.0005158215444064854,8.544237602193258
32,0.0005691017071350479,8.643330647054922
33,0.0006265152924004522,8.748731442397965
34,0.000690140638688256,8.86234570059254
35,0.0007792306354289976,8.986611282482025
36,0.000894295308829714,9.124666466315581
37,0.0010348600332004063,9.280580783073958
38,0.0012005569244172335,9.459676947164873
39,0.0013673975481386664,9.668988367650558
40,0.001368174416170114,9.917923672255034
41,0.0013681100631244949,10.21925654591443
42,0.0013747829493499233,10.588620152911005
43,0.0013920370183095148,11.045726584146925
44,0.0014245451122719874,11.61655757484278
45,0.001463662945017632,12.335739787565407
46,0.0015302454029537313,13.250076529700262
47,0.001610394325629961,14.423047873494824
48,0.0016392012434799045,15.941339797475015
49,0.001656170931779242,17.922141054905698
50,0.0016896941708137363,20.521694970152524
51,0.0017442377343591805,23.948541040992566
52,0.0018236133480550806,28.48161759290338
53,0.0019309974694424106,34.494955663267504
54,0.00206911113387646,42.491181993211406
55,0.0021445719124848495,53.1464935198695
56,0.0022632016276079234,67.37212209105805
57,0.0024454184963474132,86.39894083484575
58,0.0027028441177505314,111.8950881323002
59,0.0030484577181681045,146.12609319202238
60,0.00349856117467353,192.17576691526594
61,0.003976183769166621,254.25151057921119
62,0.004331412940313673,338.10425462526496
63,0.004752978223389234,451.61009333082643
64,0.004850966757688813,594.6917463982817
65,0.004928663700875735,735.6011946887829
66,0.005003710522724244,874.3897365648298
67,0.005101124092208832,1011.0962019478807
68,0.005202010600327385,1145.7547792750345
69,0.005336921786986181,1278.398206334792
70,0.005514061981853592,1409.0575769908335
71,0.005744180220117682,1537.7625569775075
72,0.006039251576675615,1664.542371881241
73,0.0063783742799887865,1789.4258124580776
74,0.006829909908093625,1912.4412409738882
75,0.0074271542197949635,2033.6165972675433
76,0.008216042809751363,2152.9794039365042
77,0.009261290757748484,2270.556772268602
78,0.01065677432921332,2386.375408109681
79,0.012544142722958375,2500.461617910901
80,0.014802318777598711,2612.8413147033452
81,0.01626281431060774,2723.5400239721635
82,0.017616324374649484,2832.582889426792
83,0.01839426938525427,2939.994678694392
84,0.01875384722653371,3045.7997889449653
85,0.019212795739455876,3150.0222524323494
86,0.019872968800490835,3252.6857419523176
87,0.02080845633159685,3353.8135762190072
88,0.022136771949443978,3453.428725160903
89,0.024054011426586034,3551.5538151376068
90,0.026901051185233636,3648.2111340785755
91,0.03129315256494163,3743.4226365449986
92,0.038385122114439674,3837.2099487159717
93,0.05047178125576468,3929.59437330009
94,0.07226467657438691,4020.5968943735834
95,0.10537043329471639,4110.238182146089
96,0.1182718036966064,4198.53859765514
97,0.13813459484184046,4285.518197390454
98,0.17166414701688726,4371.196737849039
99,0.23275073786424555,4455.593680022186
100,0.3509128682901324,4538.728193815342
101,0.5933830462545501,4620.619162401887
102,1.1083160669624286,4701.285186511779
103,1.7243911941756496,4780.74458865607
104,2.7579509098657735,4859.015417288227
105,4.610784393414539,4936.115450903217
