step,center_y,center_x,size
0,63.77938808373591,63.63365539452496,1242
1,64.27836611195158,63.940998487140696,661
2,66.58238636363636,64.23863636363636,352
3,66.70892018779342,63.985915492957744,213
4,65.68027210884354,63.734693877551024,147
5,64.6068376068376,61.68376068376068,117
6,60.294117647058826,62.911764705882355,102
7,60.792792792792795,61.486486486486484,111
8,58.592592592592595,62.074074074074076,135
9,60.1139896373057,60.766839378238345,193
10,63.45205479452055,63.20890410958904,292
11,63.37748344370861,62.5916114790287,453
12,63.137481910274964,61.58465991316932,691
13,64.81714876033058,62.139462809917354,968
14,65.05079605761941,62.26004548900682,1319
15,65.27055393586006,62.63790087463557,1715
16,64.97034671532846,62.316605839416056,2192
17,65.12233651726672,62.28692138133725,2722
18,64.9689421894219,62.15959409594096,3252
19,64.51696451696452,62.43719243719244,3861
20,64.26833073322933,62.49788277245376,4487
21,64.2466926070039,62.25428015564202,5140
22,63.928218243819266,62.30110826939472,5865
23,63.806466302367944,62.07786885245902,6588
24,63.87110928287399,61.883449883449885,7293
25,63.85338486473008,62.01184390973694,8021
26,63.78311732996903,61.99495354971901,8719
27,63.776634125636676,61.977504244482176,9424
28,63.89797748331175,62.01673806914417,10037
29,63.91634443082147,62.10713948882392,10603
30,63.74747113060603,62.15414913615612,11171
31,63.665157211209845,62.21496924128503,11704
32,63.63166529942576,62.23478260869565,12190
33,63.69002055986083,62.27874426696189,12646
34,63.62790875688916,62.366962645437845,13064
35,63.647546493390095,62.378669056688324,13389
36,63.63436862058909,62.51421697287839,13716
37,63.603608764141484,62.5746813690391,13966
38,63.63425110907683,62.57883247658616,14201
39,63.62596213854795,62.68143679356494,14421
40,63.61566397149514,62.72427024804714,14594
41,63.66149362970995,62.78185145025752,14756
42,63.70241681729932,62.88846488585392,14937
43,63.70563258807139,62.96304650699927,15073
44,63.6916546005002,63.01349216796104,15194
45,63.74279364664357,63.033008693378655,15299
46,63.74816546528995,63.10786414702253,15399
47,63.69363677390239,63.09199922635549,15511
48,63.6581596665598,63.10022443090734,15595
49,63.615021377065915,63.11894582349563,15671
50,63.585090170180344,63.1494157988316,15748
51,63.558417721518985,63.14854430379747,15800
52,63.57971745711403,63.19386982845611,15856
