y,x,phi,curl
0,0,10000.280606916656,0.02187586227372662
0,20,9999.991060028051,0.0017328875777523067
0,40,10011.011092406938,-0.0023424411593179206
0,60,9999.990915806686,-8.779822972043716e-05
0,80,9999.991124923086,0.0003944351172834662
0,100,9999.989730347168,0.021944148701517306
0,120,10000.000409961582,0.0030669505626350763
20,0,9999.992499936503,-0.019029475812043728
20,20,9999.9906013452,0.0032131107098101602
20,40,9999.988518551045,0.006900885049556257
20,60,9999.989396486217,-0.0055569820859938945
20,80,9999.991663668465,-0.005542625579816524
20,100,10011.161611366391,-0.0020462065110437716
20,120,9999.99178271389,-0.004455120962308635
40,0,10012.89753895801,0.0013315818921841305
40,20,9999.993970197724,0.008955864445796408
40,40,9999.989677247315,0.2669196936428754
40,60,10000.044356683871,2.4710180407783167e-05
40,80,9999.990215616188,0.006629704073206871
40,100,9999.991109328272,0.013490038903370541
40,120,10000.15195222417,-0.0025911098062925686
60,0,9999.997829331292,-0.0010671169846420692
60,20,9999.991107792637,-0.4023065343257938
60,40,9999.990726014796,-0.0005376843338545378
60,60,9999.989394949398,0.0029710899485447806
60,80,9999.990510761,0.012491347110427875
60,100,9999.990204648648,0.019719542607516488
60,120,9999.99268525123,-0.013945466608987656
80,0,9999.991897919788,-0.01172839858818113
80,20,9999.988667606114,-0.000956135713446063
80,40,9999.989724655683,0.003111932467389833
80,60,9999.991325344685,0.002958294061627259
80,80,9999.989451565187,-0.011995192452699865
80,100,9999.989549032103,-0.000138528346109848
80,120,9999.992151171127,0.01117630746607981
100,0,9999.992843752318,0.0016709526413064835
100,20,9999.99123414883,0.0005312711493674627
100,40,9999.990021672937,0.008644970018947151
100,60,9999.98992294586,-0.08199468753652628
100,80,9999.990095173984,-0.005815985634609944
100,100,9999.990179420949,0.0012116562499079886
100,120,9999.98918569974,-0.00765535842155516
120,0,10000.125422851557,0.02472547604752018
120,20,9999.990517673203,0.7887112274166079
120,40,9999.991723108296,0.001290091488276135
120,60,9999.992134554454,-0.015621126227827936
120,80,9999.991794738253,-0.004834154022042549
120,100,9999.990693430154,0.0038891483202813555
120,120,9999.989454945824,-0.025556283522178827
