metric,value
noise_strength,0.005
drift_strength,-0.004
M2_total,64212531995.41319
peak_phi,1000000.0
peak_phi_abs,1000000.0
final_particle_count,256
final_com_dist,3.027164813260194
SBR,37158.5484229656
