variant,step,com_y,com_x,dist,phi_peak,grad_phi_mag
A_pure_det,0,56.191214246870956,64.02708684669945,7.808832731947538,4.995281730088581,0.4431916515064271
A_pure_det,5,57.15395399022364,64.10837105071094,6.8469036982133025,4.971796045603913,0.5186492129454268
A_pure_det,10,58.047099291626544,64.15995732391907,5.955049385960501,4.948568482315157,0.5704886400381168
A_pure_det,15,58.861356105102665,64.19465038840438,5.142329224414908,4.926164775926098,0.5695090493606171
A_pure_det,20,59.59006055548356,64.21582026083514,4.415217354705079,4.90798054115409,0.5894802212293927
A_pure_det,25,60.226149023383066,64.22552231982499,3.780583488094375,4.913484172975138,0.5718263525825118
A_pure_det,30,60.76744303242379,64.22388070652761,3.2403004674537192,5.231405967725637,0.7303233774992305
A_pure_det,35,61.216081284263204,64.20837068237962,2.7917058865691713,8.818056600149873,1.0797022795117792
A_pure_det,40,61.538660585529065,64.17109806290311,2.4672791208854585,25.02407401935995,2.2437395779432294
A_pure_det,45,61.64275178666754,64.14561193773405,2.3617413015971382,42.18101684259573,2.2525620662974957
A_pure_det,50,61.66051234289395,64.13914762845249,2.3436221026981925,59.30714645899985,2.260564852253937
A_pure_det,55,61.66265609288362,64.13773097448379,2.3413983773519416,76.40279906193234,2.267862542069051
A_pure_det,60,61.66283997629411,64.13752858024861,2.341202914485227,93.46826431618022,2.2745292901936245
A_pure_det,65,61.66274831199724,64.13749616971614,2.3412925169141845,110.50379275274625,2.2806271671562413
A_pure_det,70,61.662654424569986,64.13748477407925,2.3413855731352506,127.5096023520705,2.286207910138578
A_pure_det,75,61.6625677530849,64.13748411713483,2.3414720565026856,144.48588408160157,2.2913144201624616
A_pure_det,80,61.66249766114185,64.13748401925321,2.341542021770556,161.43280652556444,2.2959821839375683
A_pure_det,85,61.66244019490869,64.13748392712719,2.341599383455,178.35051973590274,2.3002405608232857
A_pure_det,90,61.66239228353591,64.13748366214104,2.3416471966178376,195.23915842197417,2.3041139107524393
A_pure_det,95,61.66235175365011,64.13748335388007,2.3416876384899936,212.09884458352832,2.307622559614708
A_pure_det,100,61.662316998508416,64.13748304781753,2.3417223157112153,228.9296896781847,2.3107836104248607
A_pure_det,105,61.6622868424944,64.13748275016862,2.341752402234001,245.73179640189002,2.3136116147338273
A_pure_det,110,61.662260412493346,64.13748246515914,2.3417787699144457,262.50526014912157,2.316119121292212
A_pure_det,115,61.662237047436385,64.13748219497897,2.341802078809221,279.2501702091275,2.318317119350902
A_pure_det,120,61.66221623603779,64.13748194009075,2.3418228393489593,295.9666107453186,2.320215393112727
A_pure_det,125,61.662197576238114,64.13748170025828,2.341841452885497,312.65466159700003,2.3218228023249807
A_pure_det,130,61.66218074716133,64.13748147486476,2.3418582397049885,329.314398935879,2.3231475022090753
A_pure_det,135,61.66216548937772,64.13748126310782,2.3418734587424304,345.9458958040742,2.324197114083162
A_pure_det,140,61.66215159072709,64.13748106411207,2.341887321740577,362.5492225555762,2.324978856286795
A_pure_det,145,61.66213887592627,64.13748087699177,2.341900003628192,379.1244472191219,2.3254996434221
A_pure_det,150,61.66212719882527,64.13748070088604,2.3419116502525688,395.6716357971542,2.325766160525651
A_pure_det,155,61.66211643655139,64.13748053497798,2.3419223842264683,412.19085251281575,2.3257849175715517
A_pure_det,160,61.66210648502056,64.13748037850331,2.3419323094095486,428.6821600147002,2.3255622886813923
A_pure_det,165,61.662097255455876,64.13748023075387,2.34194151438397,445.14561954725207,2.3251045395560435
A_pure_det,170,61.66208867165685,64.13748009107724,2.3419500751804727,461.58129109322164,2.3244178459339975
A_pure_det,175,61.66208066783666,64.13747995887456,2.341958057437242,477.9892334933624,2.3235083052971373
A_pure_det,180,61.66207318689299,64.13747983359744,2.341965518125893,494.3695045475771,2.3223819435708917
A_pure_det,185,61.66206617901407,64.13747971474429,2.341972506942822,510.72216110091495,2.3210447181828053
A_pure_det,190,61.66205960054602,64.13747960185653,2.341979067439684,527.0472591171762,2.3195025185358618
A_pure_det,195,61.66205341306609,64.13747949451493,2.3419852379483523,543.3448537423541,2.317761164708175
A_pure_det,200,61.662047582618705,64.13747939233608,2.341991052343313,559.6149993597237,2.3158264049969324
A_pure_det,205,61.66204207908236,64.13747929496903,2.341996540673514,575.8577496380381,2.3137039127701984
A_pure_det,210,61.66203687564153,64.13747920209234,2.342001729689359,592.0731575740217,2.311399282971406
A_pure_det,215,61.66203194834381,64.13747911341129,2.342006643284642,608.2612755301229,2.3089180285275854
A_pure_det,220,61.66202727572649,64.13747902865533,2.3420113028691656,624.4221552683096,2.3062655768404117
A_pure_det,225,61.66202283850049,64.13747894757583,2.3420157276841373,640.5558479805455,2.3034472664847145
A_pure_det,230,61.66201861928126,64.13747886994402,2.3420199350707027,656.6624043164646,2.300468344194168
A_pure_det,235,61.662014602358745,64.1374787955492,2.342023940699453,672.7418744086693,2.2973339621856796
A_pure_det,240,61.662010773500015,64.13747872419691,2.3420277587673484,688.794307895998,2.294049175847824
A_pure_det,245,61.662007119779375,64.13747865570768,2.3420314021672564,704.8197539450492,2.2906189418039187
A_pure_det,250,61.66200362943128,64.13747858991549,2.3420348826346813,720.8182612701933,2.2870481163449585
A_pure_det,255,61.662000291722755,64.13747852666663,2.3420382108750717,736.7898781522659,2.283341454219738
A_pure_det,260,61.66199709684236,64.13747846581863,2.342041396674573,752.7346524561058,2.2795036077677975
A_pure_det,265,61.661994035803225,64.13747840723927,2.342044448996803,768.6526316470641,2.2755391263692912
