y,x,phi,curl
0,0,10000.214782088176,0.009107637600317742
0,20,10000.000010700332,0.0024333570875120225
0,40,10006.642420998827,-0.003980237241106077
0,60,10000.000000413707,0.003640978201333779
0,80,9999.999999998226,0.005003243813424079
0,100,9999.999999996373,-0.03394562315516486
0,120,10000.000000000704,-0.00024197024914718313
20,0,10000.0000128644,-0.06772749300091734
20,20,10000.000001973085,0.00020791932367812682
20,40,9999.999999995815,0.006127771996786852
20,60,9999.999999995978,-0.006180723071053565
20,80,9999.999999997128,-0.0038636858959830156
20,100,10000.000005598551,-0.0021809328853620025
20,120,10000.000000043558,0.06353953080641211
40,0,10006.19600990384,-0.00011584757383115152
40,20,10000.000000503089,0.009816625278087854
40,40,9999.999999996822,-0.010174395663579222
40,60,9999.999999996098,-0.0012612682238408168
40,80,9999.999999996538,0.001856590165821903
40,100,9999.999999997754,0.008264271163270664
40,120,10006.202258102838,-0.0018693587803514933
60,0,9999.999999996475,0.0027697240430363257
60,20,9999.999999997517,-0.7350002301508369
60,40,10000.116347492058,-0.0013784788258305591
60,60,10000.000000007907,0.003336416636711248
60,80,9999.999999996457,0.00680660370768138
60,100,9999.999999996593,0.03717319807324848
60,120,9999.999999996737,-0.006240133049169205
80,0,10000.000000009064,-0.0032502210390925462
80,20,9999.99999999531,0.0007143851592433803
80,40,9999.999999997033,-0.7901565989567848
80,60,9999.999999997664,0.0017724075764846137
80,80,9999.999999995978,-0.009585115293303664
80,100,9999.999999995925,0.0017793107861912225
80,120,9999.99999999876,0.039492789075281656
100,0,10000.000414238391,0.00257717539951699
100,20,9999.999999996617,-0.0037320944031813408
100,40,10000.000000065918,0.008015619958505416
100,60,9999.999999997179,-0.0020370632006657674
100,80,9999.999999995976,-0.029147982457443065
100,100,10000.00000045578,0.001100415864680085
100,120,9999.999999996495,-0.005299207562010088
120,0,10000.003016553168,0.7846709297440726
120,20,10000.000000012198,0.7892236123634319
120,40,10000.000000030015,0.0029623964087828747
120,60,10000.013282535241,-0.006312604679450566
120,80,9999.999999999753,0.0009720343438138108
120,100,9999.999999996435,0.006223935022746154
120,120,9999.999999996178,-0.01411660763374989
