step,central_amplitude
140,1775631299571784.5
141,2475746423774690.0
142,3452206430580368.0
143,4814197483669181.0
144,6714086492814896.0
145,9364513155856064.0
146,1.306225305594219e+16
147,1.822153627315333e+16
148,2.5420571035561452e+16
149,3.5466509862510324e+16
150,4.9486174441357624e+16
151,6.905275991343541e+16
152,9.636279746310818e+16
153,1.3448332473472976e+17
154,1.8769713769001654e+17
155,2.6198507111671437e+17
156,3.6569973067342355e+17
157,5.105067281046393e+17
158,7.126997009704776e+17
159,9.950376511866683e+17
160,1.3893121976055e+18
161,1.9399348967005059e+18
162,2.708950196219111e+18
163,3.7830409291802634e+18
164,5.283318819898526e+18
165,7.379007836824246e+18
166,1.0306569157469401e+19
167,1.439643303164461e+19
168,2.0110364901802103e+19
169,2.809369861327801e+19
170,3.924835528371724e+19
171,5.483492383273834e+19
172,7.661537607439427e+19
173,1.0705260022058503e+20
174,1.4958938562327337e+20
175,2.090385116304717e+20
176,2.9212821005590554e+20
177,4.082649187005845e+20
178,5.7059992994697563e+20
179,7.975210722163449e+20
180,1.1147388727266657e+21
181,1.5582042360872153e+21
182,2.1781892288961357e+21
183,3.044994852246047e+21
184,4.2569347784104676e+21
185,5.951503009436813e+21
186,8.320995790965701e+21
187,1.1634365179875578e+22
188,1.6267791214844404e+22
189,2.2747452565373934e+22
190,3.1809365055607115e+22
191,4.448310204481747e+22
192,6.220893211270047e+22
193,8.700171833645825e+22
194,1.2168025428915953e+23
195,1.7018817315559036e+23
196,2.3804300977850763e+23
197,3.329646133768541e+23
198,4.657545703968739e+23
199,6.51526939484333e+23
200,9.114306958543533e+23
201,1.27506041142689e+24
202,1.7838302740566206e+24
203,2.495696554802264e+24
204,3.491767641423238e+24
205,4.885556377209e+24
206,6.8359313330814e+24
207,9.565246324274402e+24
208,1.3384719310320811e+25
209,1.8729960496837202e+25
210,2.6210709810204733e+25
211,3.6680468734259736e+25
212,5.133398675718941e+25
213,7.184374884186046e+25
214,1.0055107220220062e+26
215,1.407336691788721e+26
216,1.9698028379506225e+26
217,2.7571526500571907e+26
218,3.859331037487707e+26
219,5.402270003200461e+26
220,7.562291981494956e+26
221,1.0586279787099548e+27
222,1.481992265784196e+27
223,2.0747273083543487e+27
