step,avg_radius
1,48.71906774028699
2,48.69363498649569
3,48.788363353322225
4,48.60224890635771
5,48.76435072899893
6,48.92510079921727
7,48.583188344370264
8,48.81239818211123
9,48.570098064092875
10,48.59913236507216
11,48.71787701690926
12,48.92269279785284
13,48.773044301450255
14,48.89815463934905
15,48.82761616236152
16,49.015446378403446
17,48.98398151956051
18,49.37105643958675
19,49.307793880475856
20,49.10501178545128
21,49.15896387044183
22,49.11281775244027
23,49.08405609130231
24,49.042210630433814
25,49.148324894224935
26,49.12054703399788
27,48.883387968721955
28,49.10694474521323
29,49.075412329599004
30,48.76555827005967
31,48.84879460175239
32,48.77909062373199
33,48.941541191132316
34,48.78133251782823
35,48.7893885955946
36,48.82903423786103
37,48.883150807972775
38,48.86110032589662
39,48.888896608728544
40,48.954909547885514
41,48.969616899600396
42,48.996004441237886
43,48.91309741839646
44,48.9668880784016
45,48.91705904927456
46,48.89567595878967
47,48.91406028625964
48,48.86665002408433
49,48.957775001910484
50,49.013192567671425
51,48.97120912440357
52,48.97621774830443
53,48.95990728187922
54,48.98286830896148
55,48.91516686972164
56,48.90449308998747
57,48.955064841568195
58,48.99813578281289
59,48.97361307122096
60,48.948345067511234
61,48.93211921367067
62,48.98024073738704
63,49.003296152760626
64,49.02142906269758
65,49.02457655017833
66,49.0123419325647
67,49.04237790099553
68,49.0400528236905
69,49.097020953572745
70,49.06093432503812
71,49.05869898247529
72,49.03100255141123
73,49.03439067344187
74,48.99445402109962
75,49.00068127804319
76,49.02415757989649
77,49.035080075533315
78,49.023354559653185
79,49.0060483268848
80,49.01990504491209
81,49.00967035039619
82,49.01383924200087
83,48.98352082888899
84,48.985824849821924
85,49.00039519149029
86,48.98760602269973
87,48.96579325205022
88,48.97434345366229
89,49.01173086955289
90,49.002460708224284
91,48.99147625076398
92,48.99021045701345
93,48.99599793469211
94,49.00821660737996
95,49.02181842780513
96,49.009451515171584
97,49.012632929826445
98,49.014731012408305
99,48.99597897848204
100,49.00971560464845
101,49.000487289630115
102,48.98840365931006
103,48.99290053301849
104,49.00944919052409
105,49.00872589492285
106,49.00074053471134
107,49.00715301348091
108,49.00680474792977
109,48.99902822971598
110,48.97187697109054
111,48.98389674424889
112,48.97341978322843
113,48.977105596134805
114,48.96868894731914
115,48.98210346134443
116,48.97032534431643
117,48.961967030440604
118,48.971212232414864
119,48.9638260170545
120,48.981096879799516
121,48.97998667735327
122,48.982603037109335
123,48.976523142609125
124,48.981616968866284
125,48.98096074337979
126,48.97711372704913
127,48.99053860991885
128,48.984898588490566
129,48.979128907017994
130,48.99311174298009
131,48.98187196039106
132,48.979001749200485
133,48.97504431887443
134,48.97987403289104
135,48.979317310691684
136,48.988544240275736
137,48.98386438553425
138,48.9805063521745
139,48.98662156304817
140,48.97924103518869
141,48.978694199243186
142,48.99961865757335
143,48.99209788007664
144,48.991238120934526
145,48.988301327978675
146,48.997132143308555
147,48.98801158257258
148,48.98991082510601
149,48.99301020812183
150,48.99927179406949
151,48.99889964285626
152,48.99154342796388
153,48.99356806148205
154,48.986351700009315
155,48.98657041441124
156,48.99043665723741
157,48.99859369810947
158,49.00779399696246
159,48.989917317381035
160,48.98925215412408
161,48.98772559939388
162,48.99431285428815
163,48.98669388646446
164,48.98846490268819
165,48.98447115501437
166,48.988411961173334
167,48.981358201167524
168,48.98688691462135
169,48.978672420161956
170,48.97734758210294
171,48.97534898433011
172,48.9717746012914
173,48.973633466224896
174,48.975377858326546
175,48.9764554495051
176,48.98202932104443
177,48.97593556912617
178,48.978262800036006
179,48.983089583646574
180,48.976583180096995
181,48.974512345686335
182,48.97806575523669
183,48.97851402715204
184,48.96897316813737
185,48.96914144070333
186,48.97559601516273
187,48.9753804160453
188,48.97412695923182
189,48.9765261464327
190,48.97299726209554
191,48.97436292951079
192,48.97740071872145
193,48.980377392247426
194,48.98142847904523
195,48.98407618947411
196,48.98346998953507
197,48.98890351655543
198,48.98670520167069
199,48.984829150263934
200,48.98150146113019
201,48.98083092981013
202,48.981154038326295
203,48.97862284070524
204,48.98185968571018
