step,central_amplitude
1,1.156151192094838
2,1.0919586591175066
3,1.0301394276390858
4,0.9739364208835589
5,0.9210557210046477
6,0.8953105644936
7,0.8697820745874022
8,0.8183056070738532
9,0.7779770149170476
10,0.739944549284666
11,0.7268715238277911
12,0.6923429699723627
13,0.6595061951787287
14,0.6304790911201593
15,0.6008965401151116
16,0.5913610055890808
17,0.5673464217896526
18,0.5427916931005792
19,0.5433631751296768
20,0.52468216413744
21,0.5040904360391796
22,0.5063349203335834
23,0.5022961414993072
24,0.5011713122903386
25,0.48259925948665205
26,0.48214764840558594
27,0.48259220726755203
28,0.4837795518880024
29,0.48662057460843117
30,0.48852984412581674
31,0.4710863885790147
32,0.45765044152879886
33,0.43850183846621127
34,0.44334093818692416
35,0.4271689574025202
36,0.41417243495808775
37,0.40432268988506004
38,0.3947538360197734
39,0.3995590425529956
40,0.4065301667201282
41,0.39636491912117316
42,0.38646172613569363
43,0.392698225858426
44,0.4022950284713965
45,0.4108557862218229
46,0.4018311922100741
47,0.40908691882682274
48,0.40152125067934913
49,0.39117472622278415
50,0.38503996710298183
51,0.3742860590039191
52,0.38329657088085217
53,0.3893264531182432
54,0.4018133189007067
55,0.4078870867331382
56,0.40102340440991124
57,0.3935492375621509
58,0.40546716396485755
59,0.3962442653607354
60,0.38624070379802944
61,0.37663817354924706
62,0.3675834578422589
63,0.3586917248667958
64,0.3705640511534881
65,0.36042803120319633
66,0.3724581552236096
67,0.36107071311312905
68,0.3736694993444747
69,0.3648105038202613
70,0.37782658291731314
71,0.37175143432381197
72,0.3632112348673385
73,0.3719519682636549
74,0.38628219098124994
75,0.39634137148295656
76,0.38544546822139614
77,0.379198025325969
78,0.371480378158654
79,0.36425470245494107
80,0.37619212422299947
81,0.3840621979463516
82,0.3795784366900522
83,0.37615842308054415
84,0.38630611467785125
85,0.38442138342319676
86,0.39843446913990493
87,0.39575338047914027
88,0.38902090852256194
89,0.38074913193631904
90,0.37715659385987726
91,0.3750992202557908
92,0.39000139696274316
93,0.3986738663490945
94,0.41222457689859626
95,0.42230194221391754
96,0.41373556384968874
97,0.4203416237382172
98,0.41271010851203344
99,0.4235306336765818
100,0.41621191876206676
101,0.41138788949614297
102,0.4224289994896867
103,0.4347003728746224
104,0.42804826117770883
105,0.4195127160763262
106,0.4173160640742555
107,0.42811702215290026
108,0.42088229012704415
109,0.41731219098313244
110,0.42958252617162407
111,0.42501039864339885
112,0.422541806527434
113,0.4206198578567943
114,0.41448148850755934
115,0.4105429153036063
116,0.42522413268640313
117,0.4200305146947719
118,0.4151969368712003
119,0.41305604975338184
120,0.4035519630561037
121,0.41575249619074617
122,0.43392008880466304
123,0.44660716797882033
124,0.44511366928069784
125,0.4393667033255812
126,0.45451309496169534
127,0.450950970153829
128,0.46648436591782494
129,0.4612055300262149
130,0.4514552541227566
131,0.446390911750777
132,0.4431732179114085
133,0.4337615885548883
134,0.4275245590679655
135,0.4244111967749825
136,0.4215274474698678
137,0.4330024725811473
138,0.44552636715476
139,0.44105978778993526
140,0.4540358818476346
141,0.4659960465683623
142,0.4806744581918347
143,0.48584234065930265
144,0.4770589559132087
145,0.4858747122152652
146,0.4966937395494348
147,0.4884022713633211
148,0.4784431237769967
149,0.4912082594814392
150,0.5045940710869431
151,0.496972587656985
152,0.49175499626611685
153,0.5057199499921947
154,0.5003631675188555
155,0.5117983450110953
156,0.5235678477711858
157,0.5292025913858625
158,0.5397948880161185
159,0.5260542172605547
160,0.5360677733526804
161,0.5482983044660714
162,0.5586617183468094
163,0.5500166943136052
164,0.5400522393419187
165,0.5269794619444549
166,0.5190188012071291
167,0.5088753023835879
168,0.5148620606612885
169,0.5049684200450127
170,0.5178579434508324
171,0.5106636473824734
172,0.5218827463721661
173,0.5154161276321452
174,0.5240270048011827
175,0.5365343043416002
176,0.5232340040088794
177,0.5323202211738995
178,0.5424601074488322
179,0.5344390114799702
180,0.5414989177465539
181,0.533767366331062
182,0.548065016244876
183,0.53773946012657
184,0.5482298973885806
185,0.557372400936713
186,0.5664994395657966
187,0.5579367483142154
188,0.5692162114080632
189,0.5546280562323074
190,0.5397658777274235
191,0.5481153800430081
192,0.5586317701172769
193,0.5516446898033223
194,0.54249404149957
195,0.5332430147697731
196,0.5443645975617949
197,0.5581941251669217
198,0.5460981306955234
199,0.5355414426730671
200,0.5400920863393631
201,0.5313380127657364
202,0.5200327283272115
203,0.5159223437221077
204,0.5053716920582677
205,0.5012694814203575
206,0.4975131179704936
207,0.4853467027165714
208,0.4991709872178679
209,0.49422171813160076
210,0.49144222978787605
211,0.5078484772356083
212,0.519682167250501
213,0.5304911787969023
214,0.5426191674642772
215,0.5358721254123633
216,0.5494903490480525
217,0.5426684625262196
218,0.5353551172226777
219,0.5468986313280575
220,0.5406087680854477
221,0.5345169895289099
222,0.5233881727338321
223,0.5201268156683074
224,0.5337404891846649
225,0.529501764602732
226,0.5431107559955725
227,0.5352635760807662
228,0.5269325716252062
229,0.5219956117604093
230,0.5139186522541552
231,0.5280764006873293
232,0.5418777018078207
233,0.5562248760614399
234,0.569135914805402
235,0.580321854737774
236,0.594349651141657
237,0.607879937069741
