step,phi_center_abs
1,0.0006586830432197355
2,0.0012364542449574338
3,0.0017410372843628616
4,0.002182713901392914
5,0.0025685739207785122
6,0.002925808940294464
7,0.003255709014113529
8,0.003538098274190514
9,0.0037848070873659485
10,0.003999661106584613
11,0.004202161556502057
12,0.0043778132628529386
13,0.004529309570488481
14,0.004660445564004477
15,0.004772035426666666
16,0.004876720502624251
17,0.004966523123407903
18,0.005041958134980114
19,0.005116996817725516
20,0.005181518937245481
21,0.0052350870451189765
22,0.005289433019107791
23,0.005341413892661658
24,0.005392546390615476
25,0.005434392314889214
26,0.005475895840257523
27,0.005517501300884181
28,0.0055595606667370925
29,0.005602876607117263
30,0.005647003821273682
31,0.005682783593296213
32,0.005712446966273027
33,0.005733786090638086
34,0.00575748236161195
35,0.005774449754748341
36,0.005786327363654829
37,0.005794609700941719
38,0.005799530707671898
39,0.005806770072650078
40,0.005817172308276914
41,0.00582390133475114
42,0.0058272105212773045
43,0.0058333611932952
44,0.005843704032304853
45,0.005857861950633075
46,0.00586872741166576
47,0.005882861352407767
48,0.005894308819773158
49,0.005902106392628095
50,0.005908028072089399
51,0.005910428253935477
52,0.005916741806472127
53,0.0059258338998274375
54,0.005940230985601275
55,0.00595742540954576
56,0.005972242657125668
57,0.005984515775687837
58,0.006001887374882758
59,0.006015913904686863
60,0.006026451154555013
61,0.006033798470756709
62,0.006038297152597154
63,0.0060401351089053095
64,0.0060468016780176005
65,0.006050309944572282
66,0.006058678425366231
67,0.006063367271125337
68,0.0060730968807595044
69,0.006080011750437798
70,0.006092168145119478
71,0.006102508596137243
72,0.006110254394473158
73,0.006121712318138668
74,0.006138993895026671
75,0.0061605305927815565
76,0.006178158539663645
77,0.0061937732551185145
78,0.006206933844766031
79,0.006217899652552875
80,0.0062336920715890965
81,0.006252860841614932
82,0.006270717752383204
83,0.006287725764330511
84,0.006309028995693183
85,0.006330033509829322
86,0.006356897407987435
87,0.006383053216734722
88,0.006406937360308872
89,0.006428060805029874
90,0.0064482280216906634
91,0.006468039491200709
92,0.006493892436708819
93,0.006523464745028817
94,0.006558790904445324
95,0.006598532562551795
96,0.006634913542717468
97,0.006674226481295577
98,0.006710622389152608
99,0.006751798722318992
100,0.006790221658982116
101,0.006827003353824124
102,0.006868682531510851
103,0.006915836137851674
104,0.0069604092438598514
105,0.007001757930670029
106,0.007042602435376078
107,0.007088352882447968
108,0.00713140801130367
109,0.007173372426699519
110,0.007220866700663621
111,0.007266761189942032
112,0.007311984622289293
113,0.00735677375199776
114,0.0073994219704955734
115,0.007440948742348291
116,0.007489012805598641
117,0.007535266912800323
118,0.007579960730056297
119,0.007624184023316913
120,0.007664990443553825
121,0.007711132278841642
122,0.0077652507955492545
123,0.00782512111468335
124,0.007884477975409374
125,0.007941479542920337
126,0.008005318705481495
127,0.008067652110866456
128,0.0081371427600284
129,0.008204228997440647
130,0.008266957644229463
131,0.008327594420822829
132,0.00838704427027939
133,0.008442655921730904
134,0.008495972807737468
135,0.008548342743687834
136,0.008599902973123219
137,0.00865666776589821
138,0.00871915657504483
139,0.008779964987111012
140,0.00884677228253907
141,0.0089191657111381
142,0.008998476073227167
143,0.009080184586470374
144,0.009157605553960736
145,0.009239212022731987
146,0.009326019041627923
147,0.009408693683519456
148,0.009486566725860578
149,0.009570587204205548
150,0.009661145326624584
151,0.009747841220456216
152,0.009831991875347907
153,0.009923000861637507
154,0.01001128433982616
155,0.010105265397286041
156,0.010205128594998917
157,0.010307699371427996
158,0.010415668544134489
159,0.010516129016773174
160,0.010621678014549088
161,0.010733596148454632
162,0.010850929638069105
163,0.010963254666410741
164,0.011070009000617496
165,0.011169832659000307
166,0.011265607668158708
167,0.011356371243069294
168,0.011450311890504926
169,0.011539406986891685
170,0.011635187138727049
171,0.011727488170176258
172,0.011825732586985545
173,0.011920817959600406
174,0.012020512764888561
175,0.012126820992289988
176,0.012226221056707584
177,0.012330464377710848
178,0.012440225050036034
179,0.012545796616719252
180,0.012655315081957793
181,0.012760846604876046
182,0.012874115707256453
183,0.012981818240373451
184,0.013095248366588668
185,0.013213735043562097
186,0.013337286456141432
187,0.01345601441484175
188,0.013580958236271678
189,0.013697678147733702
190,0.013806434167494103
191,0.013919886531174477
192,0.014039203565873341
193,0.01415470991316418
194,0.014265344452647632
195,0.014371297491604382
196,0.014483438418382405
197,0.01460330426086977
198,0.014716701233138283
199,0.014824720613688934
200,0.014935515634547179
201,0.015042013654912829
202,0.015143048840120793
203,0.0152424544620652
204,0.01533702822300559
205,0.015430105614734792
206,0.015521927655500445
207,0.015608538137871025
208,0.01570265356009113
209,0.01579507205147068
210,0.01588690646667562
211,0.01598759965797612
212,0.016094923347856255
213,0.016208442136953837
214,0.016328870008340674
215,0.016446091614273062
216,0.01657109327287708
217,0.016692793060135977
218,0.01681111456764353
219,0.016936157122766127
220,0.017058233111653408
221,0.017177541301677486
222,0.01729162338771624
223,0.017404672955961462
224,0.017525439917153413
225,0.01764451323239944
226,0.01777134880714294
227,0.017894473327534386
228,0.018013864399919238
229,0.018131350513767932
230,0.018245478583523923
231,0.01836771344865258
232,0.018497869344832815
233,0.018636286163569948
234,0.018782226689133263
235,0.01893484198057388
236,0.019095840810953772
237,0.01926501273222711
238,0.019439740924306094
239,0.019619517799751386
240,0.019803164553463173
241,0.019978982907444067
242,0.02014829974096718
243,0.020314431038443374
244,0.02048879640933895
245,0.020659273458228596
246,0.020825656992353028
247,0.02098668366671243
248,0.02114458248344825
249,0.021299599837373527
250,0.021451898434844303
251,0.02161518887631752
252,0.021788288253402385
253,0.021970542232491605
254,0.022148033997321997
255,0.02231998767357564
256,0.022485461302412003
257,0.022656968578575503
258,0.02283585706017729
259,0.02302264967673514
260,0.023204897027878493
261,0.023392913287076978
262,0.02357166246974395
263,0.023745065072566237
264,0.02391316543889442
265,0.024076620669666128
266,0.024251116028883215
267,0.024419721206870276
268,0.024585600772302523
269,0.024759803503074287
270,0.024940296294747106
271,0.025117266400274157
272,0.025292905727614477
273,0.02546607463563583
274,0.025649892330356236
275,0.02583973417725438
276,0.02602570289064473
277,0.026205919134766928
278,0.02638279443988107
279,0.0265582901186188
280,0.02672825650553771
281,0.026892018921184195
282,0.027051410116689406
283,0.02720812920823041
284,0.027373638942813125
285,0.027537042191152838
286,0.02769907613910382
287,0.027869094403583497
288,0.028037676370226385
289,0.02820114690011774
290,0.028373992589813813
291,0.02855322417770855
292,0.028739882488652963
293,0.02892350601277916
294,0.0291131889925511
295,0.029312381573219738
296,0.02951825826882841
297,0.029730791846436292
298,0.029934645594752216
299,0.03014461396112999
300,0.030362158032613003
301,0.03058481599354399
302,0.03080223558842307
303,0.031013677167246147
304,0.031231516233717425
305,0.03145348632181493
306,0.031668283119398614
307,0.0318769552663729
308,0.03208183720404144
309,0.03228376641220059
310,0.032493443452032235
311,0.0326972995736588
312,0.03290588799864764
313,0.03312084029690358
314,0.033329573286010813
315,0.033533142956057645
316,0.0337302882442958
317,0.03393409460973287
318,0.034130460396220016
319,0.034324812641449993
320,0.034511916240240505
321,0.03470664807763666
322,0.034896508118167274
323,0.035080288369157706
324,0.035258063469455085
325,0.035432363039421814
326,0.035604689188338465
327,0.03577523303459906
328,0.035945267307252844
329,0.0361130142419577
330,0.036290517834992146
331,0.036465953881451074
332,0.03663842164937805
333,0.03680777766186945
334,0.03698573859576173
335,0.03716064029736446
336,0.03734250962232981
337,0.03753099482654572
338,0.037718484453102614
339,0.037904611143074356
