step,center_y,center_x,size
1,63.71753057658707,63.461269656377404,1717
2,63.917297612114155,63.64181712288876,1717
3,63.50119047619047,63.852380952380955,1680
4,63.628366247755835,64.16995810891682,1671
5,63.76646706586826,63.797604790419165,1670
6,64.23159784560144,63.97965290245362,1671
7,63.98977135980746,64.28098676293622,1662
8,64.31038647342996,63.906400966183575,1656
9,63.9491833030853,63.976406533575314,1653
10,63.91301665638495,63.556446637877855,1621
11,63.720024721878865,63.54697156983931,1618
12,63.870722433460074,62.92585551330799,1578
13,63.675405742821475,63.427590511860174,1602
14,63.354679802955665,63.808497536945815,1624
15,63.46538936959209,63.91841779975278,1618
16,63.61107692307692,63.632615384615384,1625
17,63.65040650406504,63.7661038148843,1599
18,63.29283489096573,63.50965732087227,1605
19,63.76386292834891,63.94517133956386,1605
20,63.71967316153363,64.19547454431175,1591
21,63.94188250157928,63.74984207201516,1583
22,63.88868042526579,63.865540963101935,1599
23,64.23667512690355,63.55520304568528,1576
24,64.17992424242425,63.58080808080808,1584
25,64.07648902821316,63.94858934169279,1595
26,63.72756206238065,63.777848504137495,1571
27,63.76309067688378,63.3154533844189,1566
28,63.887332908975175,63.55060471037556,1571
29,63.57769181173437,63.431979368149584,1551
30,63.84203655352481,63.55548302872063,1532
31,64.20423000660938,63.84137475214805,1513
32,64.14734774066798,63.210216110019644,1527
33,64.35181518151815,63.71881188118812,1515
34,64.76964769647697,63.8340108401084,1476
35,64.63667348329925,63.47648261758691,1467
36,64.68590604026846,63.567785234899326,1490
37,65.01550910316925,64.09642616318274,1483
38,64.52896551724137,64.11172413793103,1450
39,64.48922863099375,63.812369701181375,1439
40,64.19209039548022,63.994350282485875,1416
41,64.0965909090909,63.43821022727273,1408
42,64.4831541218638,63.24229390681003,1395
43,64.19654427645789,63.5377969762419,1389
44,63.58572479764533,63.71008094186902,1359
45,63.9264705882353,63.65514705882353,1360
46,63.94626865671642,64.1776119402985,1340
47,64.66067415730338,63.77752808988764,1335
48,63.99468488990129,64.36977980258162,1317
49,64.31643625192012,63.73963133640553,1302
50,64.10246533127889,63.49306625577812,1298
51,64.07030015797788,63.60505529225908,1266
52,63.49761526232115,64.02464228934817,1258
53,63.560956175298806,64.54820717131474,1255
54,63.11897106109325,64.7684887459807,1244
55,64.06305578011317,64.79223928860145,1237
56,63.798690671031096,64.21440261865794,1222
57,64.80395387149917,64.332784184514,1214
58,64.75434243176178,64.22828784119106,1209
59,64.85785536159601,63.65336658354115,1203
60,64.47063758389261,63.91442953020134,1192
61,64.58623619371284,64.10960067969414,1177
62,64.46140503035559,64.22376409366869,1153
63,64.4608695652174,63.417391304347824,1150
64,64.49519650655022,63.23056768558952,1145
65,64.12422360248448,63.44454303460515,1127
66,64.37332139659803,63.97493285586392,1117
67,64.32636363636364,63.9,1100
68,63.97796143250689,63.637281910009186,1089
69,64.95592286501378,64.13406795224977,1089
70,64.86648501362397,64.15258855585832,1101
71,65.10335448776065,63.485947416137805,1103
72,65.01007326007326,64.04304029304029,1092
73,64.98408239700375,63.83052434456929,1068
74,64.71441947565543,64.39700374531836,1068
75,64.2738432483475,63.96883852691218,1059
76,64.85004775549189,63.97803247373448,1047
77,64.98190476190476,64.35428571428571,1050
78,64.67619047619047,63.988571428571426,1050
79,64.62511984659636,63.6529242569511,1043
80,64.88877952755905,64.04330708661418,1016
81,65.28187250996017,64.07669322709164,1004
82,65.32930513595166,64.45417925478348,993
83,65.60728744939271,64.2580971659919,988
84,65.78506559031281,64.1220988900101,991
85,64.91709314227226,64.32036847492323,977
86,65.53497942386831,64.02263374485597,972
87,65.21613236814892,64.2574974146846,967
88,65.59581151832461,63.867015706806285,955
89,65.11571125265392,63.45010615711253,942
90,66.16115261472785,63.8068303094984,937
91,65.38389121338912,62.81380753138075,956
92,64.55730809674027,62.97476340694006,951
93,64.54430379746836,62.84493670886076,948
94,64.8153681963714,62.651013874066166,937
95,64.12527233115469,62.97930283224401,918
96,64.70162162162163,62.734054054054056,925
97,65.04162102957284,63.26944140197152,913
98,64.48689956331877,63.34497816593886,916
99,64.6596685082873,63.49171270718232,905
100,65.33815350389321,63.105672969966626,899
101,65.1783723522854,62.853957636566335,897
102,65.17785234899328,63.23937360178971,894
103,64.89140271493213,63.15497737556561,884
104,65.53211009174312,64.13073394495413,872
105,65.6096196868009,64.0055928411633,894
106,65.58362573099416,63.00350877192982,855
107,65.4258600237248,63.418742586002374,843
108,65.12559241706161,63.43127962085308,844
109,65.02721893491125,63.89585798816568,845
110,64.8436018957346,63.79502369668246,844
111,65.42805320435308,63.25392986698912,827
112,65.28363636363636,62.92242424242424,825
113,65.25547445255475,64.06447688564477,822
114,64.71654501216545,63.68369829683698,822
115,64.54854368932038,63.588592233009706,824
116,64.20220588235294,62.518382352941174,816
117,64.50857843137256,63.42524509803921,816
118,63.74201474201474,63.84029484029484,814
119,64.20490797546012,64.72638036809816,815
120,64.41354292623942,64.08222490931077,827
121,63.74078624078624,64.39557739557739,814
122,64.55541561712846,64.95969773299748,794
123,63.90680100755667,63.86146095717884,794
124,63.57446808510638,64.38798498122654,799
125,63.60552763819096,63.19597989949749,796
126,63.71683673469388,63.5625,784
127,64.02541296060991,63.23252858958069,787
128,64.01291989664082,63.08656330749354,774
129,64.40463917525773,62.978092783505154,776
130,65.0051085568327,62.558109833971905,783
131,64.4928292046936,62.87744458930899,767
132,63.969032258064516,63.670967741935485,775
133,64.26736566186108,63.21494102228047,763
134,63.85282522996058,63.600525624178715,761
135,63.741379310344826,63.97347480106101,754
136,63.57472826086956,63.75,736
137,63.40079893475366,63.7323568575233,751
138,63.74064171122995,62.42112299465241,748
139,63.96112600536193,63.14745308310992,746
140,63.87114093959732,62.95973154362416,745
141,63.89605263157895,63.223684210526315,760
142,64.65053763440861,64.46505376344086,744
143,63.766977363515316,63.86284953395473,751
144,63.84260515603799,63.575305291723204,737
145,63.91688654353562,63.726912928759894,758
146,64.31940700808626,64.09568733153638,742
147,63.07776261937244,64.64392905866303,733
148,63.7194950911641,63.423562412342214,713
149,62.97605633802817,63.391549295774645,710
150,63.75679542203147,64.31473533619456,699
151,64.06406685236769,64.14623955431755,718
152,64.65686274509804,64.20448179271709,714
153,64.09732016925247,64.25952045133991,709
154,63.858126721763085,63.769972451790636,726
155,64.06629834254143,62.79419889502763,724
156,64.18945868945869,62.65384615384615,702
157,64.82428571428571,62.462857142857146,700
158,65.32810271041369,62.744650499286735,701
159,65.21014492753623,62.56956521739131,690
160,64.47270114942529,62.883620689655174,696
161,64.27062228654124,63.250361794500726,691
162,63.84905660377358,63.26124818577649,689
163,64.13229018492176,62.61877667140825,703
164,63.648148148148145,62.212250712250714,702
165,63.682563338301044,62.89716840536513,671
166,64.35051546391753,62.97643593519882,679
167,64.36764705882354,62.372058823529414,680
168,65.2406015037594,62.52781954887218,665
169,64.43178410794603,62.30734632683658,667
170,63.67365269461078,61.67664670658683,668
171,63.51428571428571,62.117293233082705,665
172,63.413636363636364,61.84090909090909,660
173,63.50384024577573,62.754224270353305,651
174,63.20121028744327,62.28441754916793,661
175,63.72247360482655,61.71342383107089,663
176,63.45909090909091,62.50757575757576,660
177,63.705530642750375,62.80269058295964,669
178,63.91616766467066,63.16017964071856,668
179,63.52248062015504,62.10697674418605,645
180,63.71494607087828,62.1617873651772,649
181,63.13414634146341,63.02286585365854,656
182,63.34970238095238,61.51934523809524,672
183,63.88181818181818,61.628787878787875,660
184,63.06125574272588,62.0,653
185,64.28310502283105,62.884322678843226,657
186,64.21044546850999,62.69278033794163,651
187,64.2,61.7703125,640
188,63.060842433697346,62.55382215288611,641
189,63.446676970633696,62.086553323029364,647
190,63.27871362940276,62.283307810107196,653
191,63.58998435054773,62.37871674491393,639
192,63.5032154340836,62.92926045016077,622
193,63.77173913043478,62.61801242236025,644
194,63.1610305958132,63.72463768115942,621
195,62.00818330605565,62.99509001636661,611
196,62.57817589576547,62.600977198697066,614
197,63.650326797385624,62.400326797385624,612
198,62.94252873563219,61.93103448275862,609
199,63.6721044045677,62.63132137030995,613
200,63.66938110749186,62.3257328990228,614
201,63.27212020033389,62.63272120200334,599
202,62.998341625207296,63.2106135986733,603
203,63.3278955954323,62.3115823817292,613
204,63.18319327731093,62.92605042016807,595
205,63.616949152542375,63.25423728813559,590
206,63.09015025041736,64.0517529215359,599
207,62.98627787307033,62.79416809605489,583
208,63.43803056027165,62.89643463497453,589
209,63.6551724137931,62.775862068965516,580
210,63.045918367346935,63.085034013605444,588
211,64.52631578947368,62.91850594227504,589
212,63.61945392491467,62.81228668941979,586
213,63.46491228070175,62.6,570
214,63.34423407917384,62.693631669535286,581
215,63.2478184991274,63.50087260034904,573
216,63.33622183708839,63.09532062391681,577
217,63.09515570934256,63.11245674740484,578
218,62.80034722222222,64.44965277777777,576
219,63.44061962134251,64.49741824440619,581
220,62.77321428571429,65.13571428571429,560
221,62.05272407732865,65.0140597539543,569
222,62.957968476357266,64.12434325744309,571
223,62.39586919104991,63.76419965576592,581
224,62.5729537366548,64.90747330960853,562
225,62.857142857142854,65.03392857142858,560
226,62.614003590664275,63.581687612208256,557
227,62.28214285714286,63.45,560
228,62.28233151183971,62.90528233151184,549
229,62.93978102189781,62.518248175182485,548
230,62.332155477031804,62.033568904593636,566
231,63.250444049733574,63.41918294849023,563
232,63.90091743119266,63.54495412844037,545
233,62.05555555555556,63.31666666666667,540
234,63.08534322820037,64.06493506493507,539
235,62.66003616636528,64.19168173598554,553
236,63.21875,63.5827205882353,544
237,62.90613718411552,64.11732851985559,554
